"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1527,"SHIP CONSTRUCTION RAPID","Wicklow","Shillelagh Phase 4",22,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1528,"SHIP CONSTRUCTION RAPID","Wicklow","Ashtown Lane, Wicklow Town",40,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1529,"SHIP CONSTRUCTION RAPID","Wicklow","Ard na Greine, West Ward, Bray",31,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
1530,"SHIP CONSTRUCTION RAPID","Wicklow","Avondale Heights, Rathdrum (Phase 2)",20,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
1531,"SHIP CONSTRUCTION RAPID","Wicklow","Sheehan Court, Back Street, Arklow",7,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
1532,"SHIP CONSTRUCTION RAPID","Wicklow","Mountainview, NTMK",28,"*N/A","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
1533,"SHIP CONSTRUCTION TURNKEY","Wicklow","Mill Court, Tinahely ",2,"*N/A","","","","","","Q2-2018"
1534,"SHIP CONSTRUCTION TURNKEY","Wicklow","No. 7 Mill Court, Tinahely ",1,"*N/A","","","","","","Q4-2018"
1535,"SHIP CONSTRUCTION TURNKEY","Wicklow","Heatherside, Vale Road, Arklow",10,"*N/A","","","","","","Q2-2019"
1536,"SHIP CONSTRUCTION TURNKEY","Wicklow","Fernhill, Arklow",1,"*N/A","","","","","","Q3-2018"
1537,"SHIP CONSTRUCTION TURNKEY","Wicklow","Mill Court, Tinahely ",1,"*N/A","","","","","","Q1-2019"
1538,"SHIP CONSTRUCTION TURNKEY","Wicklow","Merrymeeting, Rathnew",2,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
1539,"SHIP CONSTRUCTION TURNKEY","Wicklow","Bollarney Woods, Wicklow Town",30,"*N/A","","","","","Q2-2018",""
1540,"SHIP CONSTRUCTION TURNKEY","Wicklow","Mill Court, Tinahely ",1,"*N/A","","","","","","Q2-2019"
1541,"SHIP CONSTRUCTION TURNKEY","Wicklow","Heatherside, Vale Road, Arklow",24,"*N/A","","","","","Q3-2018",""
1542,"SHIP CONSTRUCTION TURNKEY","Wicklow","Kirvin Hill, Rathnew",2,"*N/A","","","","","","Q2-2019"
1543,"SHIP CONSTRUCTION TURNKEY","Wicklow","Rossmore, NTMK",1,"*N/A","","","","","","Q2-2019"
1544,"CALF Turnkey","Wicklow","Abbey St, Wicklow  (Phase 1)",6,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1545,"CALF Turnkey","Wicklow","Ballinahinch Woods, Ashford, Co. Wicklow (Phase 1)*",5,"Cluid Housing","","","","","Q1-2018",""
1546,"CALF Turnkey","Wicklow","Ballinahinch Woods, Ashford, Co. Wicklow (Phase 2)*",4,"Cluid Housing","","","","","Q1-2018",""
1547,"CALF Turnkey","Wicklow","Ballinahinch Woods, Ashford, Co. Wicklow (Phase 3)",8,"Cluid Housing","","","","","Q1-2018",""
1548,"CALF Turnkey","Wicklow","Ballinahinch Woods, Ashford, Co. Wicklow (Phase 4)",4,"Cluid Housing","","","","","Q1-2018",""
