"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
404,"CALF Construction","Dublin City","Revised - Dominic Place, Dublin (Phase 1)",9,"The Paddy McGrath Housing Project","","","","","Q2-2019",""
405,"CALF Construction","Dublin City","Revised - St Mary�s Mansions, Dublin 1 (Phase 1)",80,"Cluid Housing","","","","","Q4-2017",""
406,"CALF Construction","Dublin City","Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,"T�ath Housing Association Ltd","","","","","Q2-2017",""
407,"CALF Construction","Dublin City","Richmond Road, Dublin 9 (Phase 1)",40,"Co-operative Housing Ireland","","","","","","Q4-2018"
408,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2016"
409,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 2)",21,"T�ath Housing Association Ltd","","","","","","Q1-2017"
410,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 3)",10,"T�ath Housing Association Ltd","","","","","","Q2-2017"
411,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 4)",3,"T�ath Housing Association Ltd","","","","","","Q3-2017"
412,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 5)",1,"T�ath Housing Association Ltd","","","","","","Q4-2018"
413,"CALF Turnkey","Dublin City","Aughrim Street, Stoneybatter, Dublin 7 (Phase 1)",4,"Clanmil Housing Association Ireland","","","","Q3-2019","",""
414,"CALF Turnkey","Dublin City","Balfe Road, Crumlin, Dublin 12 (Phase 1)*",16,"Respond","","","","","","Q4-2018"
415,"CALF Turnkey","Dublin City","Block A Northbank, Castleforbes, Dublin 1  (Phase 1)*",26,"T�ath Housing Association Ltd","","","","","","Q2-2018"
416,"CALF Turnkey","Dublin City","Bluebell Avenue, Dublin 12 (Phase 1)",7,"T�ath Housing Association Ltd","","","","","","Q4-2018"
417,"CALF Turnkey","Dublin City","Bow Lane West, Dublin 8 (Phase 1)",18,"Oaklee Housing","","","","","Q4-2017",""
418,"CALF Turnkey","Dublin City","Camac Park, Bluebell, Dublin 12 (Phase 1)",5,"T�ath Housing Association Ltd","","","","","Q2-2019",""
419,"CALF Turnkey","Dublin City","Canal Meadows, Bluebell, Dublin 12 (Phase 1)",4,"T�ath Housing Association Ltd","","","","","","Q1-2019"
420,"CALF Turnkey","Dublin City","Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)*",16,"Respond","","","","","","Q4-2017"
421,"CALF Turnkey","Dublin City","Clongriffin, Dublin 13 (Phase 1)*",84,"The Iveagh Trust","","","","","","Q2-2019"
422,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 1)",3,"Cluid Housing","","","","","","Q2-2017"
423,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 2)",2,"Cluid Housing","","","","","","Q3-2017"
424,"CALF Turnkey","Dublin City","Merville Court, Merville Avenue, Fairview (Phase 1)",5,"Co-operative Housing Ireland","","","","","","Q1-2017"
425,"CALF Turnkey","Dublin City","Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,"Cluid Housing","","","","","","Q4-2017"
426,"CALF Turnkey","Dublin City","Ravensdale Court, Kimmage, Dublin 12. (Phase 1)",12,"T�ath Housing Association Ltd","","","","Q3-2019","",""
427,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",97,"Fold Housing Association Ireland Ltd","","","","","Q1-2018",""
428,"CALF Turnkey","Dublin City","Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,"Oaklee Housing","","","","","","Q3-2018"
429,"CALF Turnkey","Dublin City","Sundrive Mews, Kimmage, Dublin 12 (Phase 1)",9,"Cluid Housing","","","","","Q3-2018",""
430,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 1)",28,"T�ath Housing Association Ltd","","","","","","Q2-2016"
431,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 2)",18,"T�ath Housing Association Ltd","","","","","","Q4-2016"
432,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 3)",14,"T�ath Housing Association Ltd","","","","","","Q1-2017"
433,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 4)",8,"T�ath Housing Association Ltd","","","","","","Q1-2017"
434,"CALF Turnkey","Dublin City","Tonlegee Road, Dublin 5  (Phase 1)",47,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
435,"CAS CONSTRUCTION","Dublin City","Beech Hill",19,"Royal Hospital Donnybrook Voluntary Housing Association Ltd","","","","","","Q4-2018"
436,"CAS CONSTRUCTION","Dublin City","Ellis Court, Dublin",22,"T�ath Housing Association Ltd","","","","","Q3-2019",""
437,"CAS CONSTRUCTION","Dublin City","Martanna House, High Park, Grace Park Road,Dublin 9",8,"Respond","","","","","","Q4-2018"
438,"CAS CONSTRUCTION","Dublin City","1 - 2 Rafter's Lane, Dublin 12",11,"Walkinston Housing Association Ltd (WALK)","","","","","Q3-2018",""
439,"CAS CONSTRUCTION","Dublin City","180-187 Townsend Street",18,"Peter McVerry Trust Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
440,"CAS CONSTRUCTION","Dublin City","Old Kilmainham Road, Dublin 8",11,"Arlington Novas Ireland Ltd","Stage 1 approved Q1-2017, outline design and costs being prepared.","","","","",""
441,"CAS CONSTRUCTION","Dublin City","26 New Street South, Dublin 8",8,"Peter McVerry Trust Ltd","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
442,"CAS CONSTRUCTION","Dublin City","Broome Lodge, Dunmanus, Dublin 7",10,"Cluid Housing Association","","","","","","Q4-2017"
443,"CAS CONSTRUCTION","Dublin City","St Agatha's Court, North William Street, Dublin 1",11,"Peter McVerry Trust Ltd","","","","","","Q2-2017"
444,"CAS CONSTRUCTION","Dublin City","55B Arbour Hill, Dublin 7",18,"Simon Community : Dublin Simon","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
445,"CAS CONSTRUCTION","Dublin City","St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,"Circle Voluntary Housing Association Ltd","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
446,"CAS CONSTRUCTION","Dublin City","Shaw Street, Dublin 2",12,"Peter McVerry Trust Ltd","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
447,"CAS CONSTRUCTION SINGLE STAGE","Dublin City","13A Casement Drive / 307A Casement Road, Finglas, Dublin 11",4,"Arlington Novas Ireland Ltd","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
448,"CAS CONSTRUCTION TURNKEY","Dublin City","61 & 63 Rathoath Avenue, Finglas, Dublin 11",6,"Arlington Novas Ireland Ltd","","","","","Q3-2019",""
449,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Ayrfield, Malahide Road",150,"*N/A","","","","","Q1-2019",""
450,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Scribblestown",70,"*N/A","","","","","Q1-2019",""
451,"REGENERATION","Dublin City","St. Teresa's Gardens",54,"*N/A","","","","","Q4-2018",""
452,"REGENERATION","Dublin City","Dolphin House, Dublin 8",100,"*N/A","","","","","","Q3-2018"
453,"REGENERATION","Dublin City","Dominick Street (East side)",72,"*N/A","","","","","Q1-2019",""
454,"REGENERATION","Dublin City","Sackville Avenue Cottages",11,"*N/A","","","Stage 3 approved Q3-2019, the scheme is now approved to proceed to tender.","","",""
455,"REGENERATION","Dublin City","O'Devaney Gardens",56,"*N/A","","","","","Q3-2018",""
456,"REGENERATION","Dublin City","Charlemont",79,"*N/A","","","","","","Q4-2017"
457,"REGENERATION","Dublin City","Maxwell Road",9,"*N/A","","","","","","Q2-2016"
458,"REGENERATION","Dublin City","Buttercup, Darndale",19,"*N/A","","","","","","Q4-2017"
459,"REGENERATION","Dublin City","Buttercup, Darndale",9,"*N/A","","","","","","Q1-2018"
460,"REGENERATION","Dublin City","Buttercup, Darndale",7,"*N/A","","","","","","Q2-2018"
461,"REGENERATION","Dublin City","St. Bricins Park",11,"*N/A","","","","","","Q4-2018"
462,"SHIP CONSTRUCTION","Dublin City","Hampton Wood",25,"*N/A","","","","","","Q4-2016"
463,"SHIP CONSTRUCTION","Dublin City","Belcamp B, Dublin 17",12,"*N/A","","Stage 2 approved Q3-2015, full design/tender being prepared.","","","",""
464,"SHIP CONSTRUCTION","Dublin City","Cornamona, Ballyfermot, Dublin 12",61,"*N/A","","","","","Q2-2019",""
465,"SHIP CONSTRUCTION","Dublin City","Infirmary Road, Dublin 7",38,"*N/A","","","Stage 3 approved Q1-2019, the scheme is now approved to proceed to tender.","","",""
466,"SHIP CONSTRUCTION","Dublin City","North King Street, - Sean Foster Place, Dublin 7",30,"*N/A","","","","","Q1-2019",""
467,"SHIP CONSTRUCTION","Dublin City","Ballybough Road, Dublin 1",5,"*N/A","","","","","","Q4-2018"
468,"SHIP CONSTRUCTION","Dublin City","St. Finbar's Court, Kilkieran Road, Dublin 7",46,"*N/A","Stage 1 approved Q4-2017, outline design and costs being prepared.","","","","",""
469,"SHIP CONSTRUCTION","Dublin City","Priory Hall",9,"*N/A","","","","","","Q1-2017"
470,"SHIP CONSTRUCTION","Dublin City","Priory Hall Phase 2",24,"*N/A","","","","","Q2-2017",""
471,"SHIP CONSTRUCTION","Dublin City","Ballybough Road, Dublin 1 - Phase 2",2,"*N/A","","","","","Q1-2017",""
472,"SHIP CONSTRUCTION","Dublin City","Glin Court, Coolock, Dublin 17",25,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
473,"SHIP CONSTRUCTION RAPID","Dublin City","Belcamp H, Dublin 17",38,"*N/A","","","","","","Q4-2017"
474,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot",24,"*N/A","","","","","","Q4-2017"
475,"SHIP CONSTRUCTION RAPID","Dublin City","Mourne Road, Drimnagh",29,"*N/A","","","","","","Q4-2017"
476,"SHIP CONSTRUCTION RAPID","Dublin City","St Helena's Drive, Finglas",39,"*N/A","","","","","","Q3-2017"
477,"SHIP CONSTRUCTION RAPID","Dublin City","Poppintree, Ballymun",22,"*N/A","","","","","","Q2-2016"
478,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Cherry Orchard",53,"*N/A","","","","","","Q4-2018"
479,"SHIP CONSTRUCTION RAPID","Dublin City","Belcamp C, Dublin 17",16,"*N/A","","Stage 2 approved Q3-2015, full design/tender being prepared.","","","",""
480,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Rathvilly Drive site",13,"*N/A","","","","","","Q3-2018"
481,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Woodbank Drive site",3,"*N/A","","","","","","Q3-2018"
482,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Cherry Orchard site Ph 2",19,"*N/A","","","","","Q3-2018",""
483,"SHIP CONSTRUCTION RAPID","Dublin City","Bunratty Road Phase 1c, Dublin 17",78,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
484,"SHIP CONSTRUCTION RAPID","Dublin City","Bonham Street Dublin  8",57,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
485,"SHIP CONSTRUCTION RAPID","Dublin City","Cork Street / Chamber Street Dublin 8",55,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
486,"SHIP CONSTRUCTION RAPID","Dublin City","Springvale Chapelizod Dublin 8",71,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
487,"SHIP CONSTRUCTION TURNKEY","Dublin City","Prospecthill",58,"*N/A","","","","","","Q4-2017"
488,"SHIP CONSTRUCTION TURNKEY","Dublin City","Parkside, Balgriffin, Dublin 13",16,"*N/A","","","","","","Q4-2018"
489,"SHIP CONSTRUCTION TURNKEY","Dublin City","Hampton Wood, Finglas",47,"*N/A","","","","","","Q4-2018"
490,"SHIP CONSTRUCTION TURNKEY","Dublin City","Hampton Wood, Finglas",45,"*N/A","","","","","Q4-2018",""
491,"CALF Construction","Fingal","Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,"Cluid Housing","","","","","Q4-2018",""
492,"CALF Construction","Fingal","Old Coolock Lane, Santry, Dublin 9 (Phase 1)",28,"Circle Voluntary Housing Association Ltd","","","","Q1-2019","",""
493,"CALF Turnkey","Fingal","4 units, Taylor Hill, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
494,"CALF Turnkey","Fingal","Allendale Square, Clonsilla, Dublin 15 (Phase 1)*",28,"Respond","","","","","Q1-2019",""
495,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q4-2018"
496,"CALF Turnkey","Fingal","Barnwell Woods, Hansfield, Dublin 15 (Phase 2)*",12,"T�ath Housing Association Ltd","","","","","","Q4-2018"
497,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 1)",5,"T�ath Housing Association Ltd","","","","","","Q2-2016"
498,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 2)",7,"T�ath Housing Association Ltd","","","","","","Q3-2016"
499,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 3)",7,"T�ath Housing Association Ltd","","","","","","Q4-2016"
500,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 4)",21,"T�ath Housing Association Ltd","","","","","","Q1-2017"
501,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 5)",8,"T�ath Housing Association Ltd","","","","","","Q2-2017"
502,"CALF Turnkey","Fingal","Drynam Heath, Feltrim Road, Swords, Co. Dublin (Phase 1)*",17,"T�ath Housing Association Ltd","","","","","Q1-2019",""
503,"CALF Turnkey","Fingal","Lanesborough Close, Finglas, Dublin 11 (Phase 1)*",21,"Cluid Housing","","","","","","Q4-2018"
504,"CALF Turnkey","Fingal","Martello Place, Balbriggan, Co Dublin  (Phase 1)",18,"Respond","","","","","","Q3-2018"
505,"CALF Turnkey","Fingal","Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)*",10,"The Iveagh Trust","","","","","Q3-2018",""
506,"CALF Turnkey","Fingal","Millers Glen, Oldtown, Swords, Co. Dublin (Phase 2)*",18,"The Iveagh Trust","","","","","Q3-2018",""
507,"CALF Turnkey","Fingal","Millers Glen, Phase 3, Oldtown, Swords (Phase 1)*",14,"The Iveagh Trust","","","","","Q3-2018",""
508,"CALF Turnkey","Fingal","Northwood Green, Santry, Dublin 9 (Phase 1)*",6,"Respond","","","","","","Q4-2018"
509,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 1)",25,"Respond","","","","","Q3-2018",""
510,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 2)*",30,"Respond","","","","","Q3-2018",""
511,"CALF Turnkey","Fingal","Old Corduff Road, Blanchardstown, Dublin 15 (Phase 1)*",28,"Respond","","","","","Q4-2018",""
512,"CALF Turnkey","Fingal","Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,"T�ath Housing Association Ltd","","","","","","Q3-2019"
513,"CALF Turnkey","Fingal","St Marnock�s Bay, Portmarnock, Co Dublin   (Phase 1)*",10,"Cluid Housing","","","","","","Q4-2017"
514,"CALF Turnkey","Fingal","St Werburghs Court Drynam Rd Swords Co Dublin (Phase 1)*",18,"T�ath Housing Association Ltd","","","","","","Q4-2017"
515,"CALF Turnkey","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 1)*",3,"Circle Voluntary Housing Association Ltd","","","","","","Q2-2019"
516,"CALF Turnkey","Fingal","Station Manor, Station Road, Portmarnock, Co. Dublin (Phase 2)*",8,"Circle Voluntary Housing Association Ltd","","","","","Q4-2017",""
517,"CALF Turnkey","Fingal","Taylor Hill Crescent, Balbriggan, Co. Dublin (Phase 1)",4,"Cluid Housing","","","","","","Q4-2018"
518,"CALF Turnkey","Fingal","Taylor Hill, Balbriggan, Co. Dublin (Phase 1)*",31,"Cluid Housing","","","","","","Q4-2018"
519,"CALF Turnkey","Fingal","The Hermitage, Balgriffin, Co Dublin  (Phase 1)*",54,"Cluid Housing","","","","","","Q4-2017"
520,"CALF Turnkey","Fingal","Weavers Wood, Clonsilla Road, Clonsilla, Dublin 15  (Phase 1)*",33,"Co-operative Housing Ireland","","","","","","Q3-2018"
521,"CAS CONSTRUCTION","Fingal","Killhedge Lane Dun Emer",48,"T�ath Housing Association Ltd","Stage 1 approved Q1-2017, outline design and costs being prepared.","","","","",""
522,"CAS CONSTRUCTION","Fingal","Ravenswood, North Road, Finglas",6,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
523,"CAS CONSTRUCTION","Fingal","22 College Street, Baldoyle",4,"Cluid Housing Association","","","Stage 3 approved Q2-2018, the scheme is now approved to proceed to tender.","","",""
524,"CAS CONSTRUCTION","Fingal","Darcystown, Ringfort, Balrothery",9,"North ? East Housing Association Ltd","","","","","","Q3-2017"
525,"CAS CONSTRUCTION","Fingal","Estuary Road, Malahide",8,"Society of Saint Vincent de Paul","","","","","","Q2-2018"
526,"SHIP CONSTRUCTION","Fingal","Rivermeade, St. Margarets",2,"*N/A","","","","","","Q2-2019"
527,"SHIP CONSTRUCTION","Fingal","Rowlestown (Phase 1)",10,"*N/A","","","","","","Q2-2019"
528,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.3)",5,"*N/A","","","","","","Q2-2018"
529,"SHIP CONSTRUCTION","Fingal","Castlelands, Park View, Balbriggan (Phase 3)",24,"*N/A","","","","","","Q1-2019"
530,"SHIP CONSTRUCTION","Fingal","Rathbeale Road, Swords",24,"*N/A","","","","","Q4-2018",""
531,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",2,"*N/A","","","","","","Q3-2017"
532,"SHIP CONSTRUCTION","Fingal","Cappaghfinn (Phase 1)",14,"*N/A","","","","","","Q2-2016"
533,"SHIP CONSTRUCTION","Fingal","St. Cronan's Green, Swords",14,"*N/A","","","","","","Q2-2016"
534,"SHIP CONSTRUCTION","Fingal","St. Cronan's Cottages, Swords - Infill",1,"*N/A","","","","","","Q2-2016"
535,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2017"
536,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal (Part 2)",6,"*N/A","","","","","","Q4-2018"
537,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.2) ",15,"*N/A","","","","","","Q1-2018"
538,"SHIP CONSTRUCTION","Fingal","Redevelopment of Community Centre, Pinewood, Balbriggan",2,"*N/A","","","","","","Q3-2019"
539,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.4)",4,"*N/A","","","","","","Q3-2018"
540,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.5)",25,"*N/A","","","","","","Q4-2018"
541,"SHIP CONSTRUCTION","Fingal","Tucketts Lane, Howth, Co Dublin",8,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
542,"SHIP CONSTRUCTION","Fingal","Wellview Infill",20,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
543,"SHIP CONSTRUCTION","Fingal","Rowlestown (Phase 3)",6,"*N/A","","","","","Q2-2018",""
544,"SHIP CONSTRUCTION","Fingal","Rowlestown (Phase 4)",6,"*N/A","","","Stage 3 approved Q4-2017, the scheme is now approved to proceed to tender.","","",""
545,"SHIP CONSTRUCTION","Fingal","Outlands, Rathbeale Road, Swords, Co.Dublin",11,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
546,"SHIP CONSTRUCTION","Fingal","Rowlestown (Phase 2)",4,"*N/A","","","","","","Q3-2019"
547,"SHIP CONSTRUCTION RAPID","Fingal","Avondale, Mulhuddart, Dublin 15",42,"*N/A","","","","","Q3-2018",""
548,"SHIP CONSTRUCTION RAPID","Fingal","Hansfield, Ongar, Dublin 15",36,"*N/A","","","","","","Q3-2017"
549,"SHIP CONSTRUCTION RAPID","Fingal","Pinewood, Balbriggan",20,"*N/A","","","","","","Q2-2018"
550,"SHIP CONSTRUCTION RAPID","Fingal","Wellview, Mulhuddart",20,"*N/A","","","","","","Q4-2017"
551,"SHIP CONSTRUCTION RAPID","Fingal","Church Road, Mulhuddart, Dublin 15",22,"*N/A","","","","","Q4-2018",""
552,"SHIP CONSTRUCTION TURNKEY","Fingal","Blackmills Grove, Blakestown Road, Mulhuddard",10,"*N/A","","","","","","Q2-2017"
553,"SHIP CONSTRUCTION TURNKEY","Fingal","Balgriffin Grove, Malahide Road, Balgriffin",6,"*N/A","","","","","","Q1-2017"
554,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield (Phase 1), Ongar, Dublin 15",16,"*N/A","","","","","","Q1-2018"
555,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield (Phase 2), Ongar, Dublin 15",16,"*N/A","","","","","","Q2-2018"
556,"SHIP CONSTRUCTION TURNKEY","Fingal","Ravenswood, North Road, Finglas (Phase 2)",2,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
557,"SHIP CONSTRUCTION TURNKEY","Fingal","Boroimhe, Swords",6,"*N/A","","","","","","Q3-2018"
558,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
559,"SHIP CONSTRUCTION TURNKEY","Fingal","Kenure Gate, Park Road, Rush",4,"*N/A","","","","","","Q4-2018"
560,"SHIP CONSTRUCTION TURNKEY","Fingal","Glaslinn, Donabate",3,"*N/A","","","","","","Q4-2018"
561,"SHIP CONSTRUCTION TURNKEY","Fingal","Bremore Pastures Park, Balbriggan",4,"*N/A","","","","","","Q4-2018"
562,"SHIP CONSTRUCTION TURNKEY","Fingal","Northwood Green, Santry, Dublin 9",37,"*N/A","","","","","","Q4-2018"
563,"SHIP CONSTRUCTION TURNKEY","Fingal","Hollytown Cottages",4,"*N/A","","","","","Q1-2019",""
564,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh Ballyboughal Co. Dublin",5,"*N/A","","","","","","Q3-2019"
565,"CALF Turnkey","Galway City","Boireann Beag, Ros Cam, Galway (Phase 1)",16,"Cluid Housing","","","","","","Q4-2016"
566,"CALF Turnkey","Galway City","Cnoc na Ri, Clybaun Road, Galway  (Phase 1)*",2,"Cluid Housing","","","","","","Q3-2017"
567,"CALF Turnkey","Galway City","Maigh Rua, Doughiska, Galway  (Phase 1)",23,"Co-operative Housing Ireland","","","","","","Q4-2017"
568,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 1)*",2,"T�ath Housing Association Ltd","","","","","","Q1-2017"
569,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Galway (Phase 2)*",4,"T�ath Housing Association Ltd","","","","","","Q4-2017"
570,"CALF Turnkey","Galway City","Maoilin, Ballymoneen Road, Knocknacarra, Galway CIty (Phase 1)*",3,"T�ath Housing Association Ltd","","","","","","Q3-2018"
571,"CALF Turnkey","Galway City","Reilean, Roscam, Block 5 Galway (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q2-2017"
572,"CALF Turnkey","Galway City","Reilean, Roscam,Block 4 Galway (Phase 1)*",12,"T�ath Housing Association Ltd","","","","","","Q2-2017"
573,"CALF Turnkey","Galway City","Revised Murrough, Renmore, Galway  (Phase 1)*",20,"Cluid Housing","","","","","","Q1-2019"
574,"CAS CONSTRUCTION","Galway City","97/98 Rockfield",4,"Carraig Dubh Housing Association","","","","","","Q1-2018"
575,"CAS CONSTRUCTION","Galway City","Cul Garrai, Rahoon",6,"Peter Triest Housing Association Ltd","Stage 1 approved Q3-2015, outline design and costs being prepared.","","","","",""
576,"CAS CONSTRUCTION","Galway City","47 Forster Street",9,"Cope Galway","","","","","Q4-2018",""
577,"CAS CONSTRUCTION","Galway City","Doughiska, Galway City",7,"Respond","Stage 1 approved Q2-2019, outline design and costs being prepared.","","","","",""
578,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Galway City","Ballyburke",74,"*N/A","","","","Q2-2019","",""
579,"SHIP CONSTRUCTION","Galway City","Ballymoneen Road (Phase 2)",78,"*N/A","","","","","Q2-2019",""
580,"SHIP CONSTRUCTION","Galway City","Ballymoneen Road (Phase 1)",14,"*N/A","","","","","","Q2-2018"
581,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More",7,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
582,"SHIP CONSTRUCTION","Galway City","Monivea Road, Ballybaan More",58,"*N/A","","","Stage 3 approved Q2-2019, the scheme is now approved to proceed to tender.","","",""
583,"SHIP CONSTRUCTION","Galway City","Headford Road, Castlegar",70,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
584,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine, (Glasshouse Site) Monivea Road (Phase 1)",6,"*N/A","","","","","","Q3-2019"
585,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 2)",16,"*N/A","","","","","Q4-2018",""
586,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 3)",10,"*N/A","","","","","Q4-2018",""
587,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 4)",14,"*N/A","","","","","Q4-2018",""
588,"SHIP CONSTRUCTION TURNKEY","Galway City","Radharc na Gr�ine (Glasshouse Site), Monivea Road - (Phase 5)",4,"*N/A","","","","","Q4-2018",""
589,"CALF Construction","Galway County","Spiddal Cottages, Co Galway (Phase 1)",23,"Cluid Housing","","","","","","Q3-2017"
590,"CALF Turnkey","Galway County","Cnoc na Si, Portumna, Co Galway (Phase 1)",10,"Co-operative Housing Ireland","","","","","","Q2-2018"
591,"CALF Turnkey","Galway County","Dunloe Street, Ballinasloe, Co. Galway (Phase 1)",9,"Co-operative Housing Ireland","","","","","Q3-2018",""
592,"CALF Turnkey","Galway County","Sliabh Carran, Gort, Co Galway  (Phase 1)",9,"T�ath Housing Association Ltd","","","","Q1-2019","",""
593,"CALF Turnkey","Galway County","Tir an Choir, Vicars Choral, Tuam, Co. Galway (Phase 1)",12,"Co-operative Housing Ireland","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
594,"CAS CONSTRUCTION","Galway County","Letterfrack (Phase 2)",11,"Cluid Housing Association","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
595,"CAS CONSTRUCTION","Galway County","Rossaveal Cottages, Ros a Mh�l, South Connemara",8,"Tearmann Eanna Teoranta","Stage 1 approved Q4-2016, outline design and costs being prepared.","","","","",""
596,"CAS CONSTRUCTION","Galway County","Cregboy, Claregalway",14,"Claregalway and District Day Care Centre","","","","","","Q3-2019"
