No.,Funding Programme,LA,Scheme/Project Name,No. of Units,Approved Housing Body,Stage 1 Capital Appraisal,Stage 2 Pre Planning ,Stage 3 Pre Tender design,Stage 4 Tender Report or Final Turnkey/CALF approval,On Site,Completed,,,,,,,,,,,,,
32,SHIP CONSTRUCTION,Carlow,"Paulville, Tullow (SRD)",1,*N/A,,,,,,Q3-2017,,,,,,,,,,,,,
33,SHIP CONSTRUCTION,Carlow,"Maryborough St., Carlow",5,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
34,SHIP CONSTRUCTION,Carlow,"Drumin, St. Mullins (SRD)",1,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
35,SHIP CONSTRUCTION,Carlow,"Pound Lane, Borris",9,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
36,SHIP CONSTRUCTION,Carlow,"Barrack Street, Carlow",7,*N/A,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
37,SHIP CONSTRUCTION,Carlow,"Gleann na Bearu, Bagenalstown",22,*N/A,,,,"Stage 4 approved Q3-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
38,CAS CONSTRUCTION TURNKEY,Carlow,"Pollerton Big, Carlow",6,Tintean Housing Association Ltd,,,,,,Q4-2020,,,,,,,,,,,,,
39,CAS CONSTRUCTION,Carlow,"Gleann na Bearu, Royal Oak Road, Bagenalstown",6,Respond,,,,,Q4-2020,,,,,,,,,,,,,,
40,CAS CONSTRUCTION,Carlow,"Ballincarrig, Wexford Road",6,Tintean Housing Association Ltd,,,,,,Q4-2016,,,,,,,,,,,,,
41,CAS CONSTRUCTION,Carlow,"Homefield, Blackbog Road, Carlow",3,Carlow Voluntary Housing Association,,,,,,Q2-2021,,,,,,,,,,,,,
42,CALF Turnkey,Carlow,"7 units, Rivercourt, Carlow (Phase 1)",3,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2019,,,,,,,,,,,,,
43,CALF Turnkey,Carlow,"7 units, Rivercourt, Carlow (Phase 2)",4,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2019,,,,,,,,,,,,,
44,CALF Turnkey,Carlow,"Ballickmoyler, Graigcullen, Carlow (Phase 1)",22,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021,,,,,,,,,,,,,
45,CALF Turnkey,Carlow,"Ballickmoyler, Graigcullen, Carlow (Phase 2)",35,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021,,,,,,,,,,,,,
46,CALF Turnkey,Carlow,"Barrett Street, Bagnalstown, Co. Carlow (Phase 1)",10,Tintean Housing Association Ltd,,,,,,Q1-2018,,,,,,,,,,,,,
47,CALF Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 1)",15,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
48,CALF Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 2)",12,Tuath Housing Association,,,,,,Q2-2019,,,,,,,,,,,,,
49,CALF Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 3)",10,Tuath Housing Association,,,,,,Q2-2019,,,,,,,,,,,,,
50,CALF Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 4)",6,Tuath Housing Association,,,,,,Q3-2019,,,,,,,,,,,,,
51,CALF Turnkey,Carlow,"Browneshill Rise, Browneshill Road, Chapelstown, Carlow (Phase 5)",16,Tuath Housing Association,,,,,,Q4-2019,,,,,,,,,,,,,
52,CALF Turnkey,Carlow,"Browneshill Wood, Browneshill Road, Chapelstown, Carlow (Phase 1)",14,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
53,CALF Turnkey,Carlow,"Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 1)*",17,Tuath Housing Association,,,,,,Q3-2021,,,,,,,,,,,,,
54,CALF Turnkey,Carlow,"Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 2)*",15,Tuath Housing Association,,,,,,Q4-2021,,,,,,,,,,,,,
55,CALF Turnkey,Carlow,"Cois Dara, Tullow Road, Chapelstown, Carlow  (Phase 3)*",31,Tuath Housing Association,,,,,Q2-2019,,,,,,,,,,,,,,
56,CALF Turnkey,Carlow,"Greenhills, Leighlin Road, Graiguecullen, Carlow (Phase 1)",8,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2020,,,,,,,,,,,,,
57,CALF Turnkey,Carlow,"Mill Race, Paupish Lane, Carlow, Co. Carlow (Phase 1)",3,Tuath Housing Association,,,,,,Q4-2020,,,,,,,,,,,,,
58,CALF Turnkey,Carlow,"Mill Race, Paupish Lane, Carlow, Co. Carlow (Phase 2)",6,Tuath Housing Association,,,,,,Q2-2021,,,,,,,,,,,,,
59,CALF Turnkey,Carlow,"Rivercourt,  Carlow  (Phase 1)",28,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2020,,,,,,,,,,,,,
60,CALF Turnkey,Carlow,"Rivercourt,  Carlow  (Phase 2)*",19,Co - Operative Housing Ireland Society Limited,,,,,Q3-2018,,,,,,,,,,,,,,
61,CALF Turnkey,Carlow,"Sleaty Street, Graigcullen, Carlow  (Phase 1)",26,Clúid Housing,,,,,,Q1-2019,,,,,,,,,,,,,
62,CALF Turnkey,Carlow,"Sli Na Ri, Moneybeg, Bagenalstown, Co. Carlow (Phase 1)",7,Co - Operative Housing Ireland Society Limited,,,,,Q2-2021,,,,,,,,,,,,,,
63,CALF Turnkey,Carlow,"Sli Na Ri, Moneybeg, Bagenalstown, Co. Carlow (Phase 2)*",12,Co - Operative Housing Ireland Society Limited,,,,,Q2-2021,,,,,,,,,,,,,,
64,CALF Turnkey,Carlow,"Tanner Hall, Athy Road, Carlow (Phase 1)",9,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2020,,,,,,,,,,,,,
65,CALF Turnkey,Carlow,"The Millrace, Burrin, Co. Carlow (Phase 1)*",22,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021,,,,,,,,,,,,,
66,SHIP CONSTRUCTION TURNKEY,Cavan,"Ashgrove, Derrylurgan, Ballyjamesduff",3,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
67,SHIP CONSTRUCTION TURNKEY,Cavan,"Ashgrove, Derrylurgan, Ballyjamesduff",4,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
68,SHIP CONSTRUCTION TURNKEY,Cavan,"Ashgrove, Derrylurgan, Ballyjamesduff",3,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
69,SHIP CONSTRUCTION TURNKEY,Cavan,"Ashgrove, Derrylurgan, Ballyjamesduff",4,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
70,SHIP CONSTRUCTION TURNKEY,Cavan,"Woodlands, Killyfinla, Ballyjamesduff ",4,*N/A,,,,,Q1-2021,,,,,,,,,,,,,,
71,SHIP CONSTRUCTION TURNKEY,Cavan,"Woodlands, Killyfinla, Ballyjamesduff",8,*N/A,,,,,Q4-2021,,,,,,,,,,,,,,
72,SHIP CONSTRUCTION TURNKEY,Cavan,"Woodlands, Killyfinla, Ballyjamesduff",10,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
73,SHIP CONSTRUCTION TURNKEY,Cavan,"Woodlands, Killyfinla, Ballyjamesduff",10,*N/A,,,,"Stage 4 approved Q2-2020, the scheme is fully approved.",,,,,,,,,,,,,,,
74,SHIP CONSTRUCTION TURNKEY,Cavan,"Lakeland Close, Swellan, Cavan Town",2,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
75,SHIP CONSTRUCTION TURNKEY,Cavan,"Mullaghduff, Ballyconnell, Co. Cavan",8,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
76,SHIP CONSTRUCTION TURNKEY,Cavan,"Mullaghduff, Ballyconnell, Co. Cavan",12,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
77,SHIP CONSTRUCTION TURNKEY,Cavan,"Mullaghduff, Ballyconnell, Co. Cavan",11,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
78,SHIP CONSTRUCTION TURNKEY,Cavan,"Mullaghduff, Ballyconnell, Co. Cavan",12,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
79,SHIP CONSTRUCTION TURNKEY,Cavan,"Clankee Court, Lisdrumskea, Shercock",2,*N/A,,,,"Stage 4 approved Q2-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
80,SHIP CONSTRUCTION TURNKEY,Cavan,"Abhainn Dubh, Rosehill, Mullagh",4,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
81,SHIP CONSTRUCTION RENEWAL,Cavan,"Derrylurgan, Ballyjamesduff",12,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
82,SHIP CONSTRUCTION,Cavan,"Rosehill, Mullagh (Phase 6)",8,*N/A,,,,,,Q1-2019,,,,,,,,,,,,,
83,SHIP CONSTRUCTION,Cavan,Butlersbridge,4,*N/A,,,,,,Q1-2018,,,,,,,,,,,,,
84,SHIP CONSTRUCTION,Cavan,"Woodlands, Ballyhaise",8,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
85,SHIP CONSTRUCTION,Cavan,Butlersbridge,2,*N/A,,,,,,Q2-2017,,,,,,,,,,,,,
86,SHIP CONSTRUCTION,Cavan,"Clones Road, Butlersbridge",2,*N/A,,,,,,Q3-2020,,,,,,,,,,,,,
87,SHIP CONSTRUCTION,Cavan,"Corstruce, Ballinagh",4,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
88,SHIP CONSTRUCTION,Cavan,"Main Street, Mullagh",19,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
89,SHIP CONSTRUCTION,Cavan,"Elm Grove, Main St, Cavan Town",13,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
90,SHIP CONSTRUCTION,Cavan,"Cavan Road, Ballinagh",15,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
91,SHIP CONSTRUCTION,Cavan,"Main St., Butlersbridge",6,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
92,SHIP CONSTRUCTION,Cavan,"Cluain Dara, Kingscourt",3,*N/A,,,,,,Q4-2021,,,,,,,,,,,,,
93,SHIP CONSTRUCTION,Cavan,"Fairymount Close, Kingscourt, Co. Cavan",3,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
94,SHIP CONSTRUCTION,Cavan,"St. Bridgets Terrace, Cavan Town (Infill)",20,*N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
95,SHIP CONSTRUCTION,Cavan,"Lime Park, Bailieborough",12,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
96,SHIP CONSTRUCTION,Cavan,"Duckin Stool, Main Street, Belturbet",3,*N/A,"Stage 1 approved Q2-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
97,SHIP CONSTRUCTION,Cavan,"The Widow's Row, Widow's House Lane, Belturbet",8,*N/A,"Stage 1 approved Q3-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
98,SHIP CONSTRUCTION,Cavan,"8 Units @ Ashgrove, Derrylurgan, Ballyjamesduff",8,N/A,"Stage 1 approved Q4-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
99,SHIP CONSTRUCTION,Cavan,"Lime Park, Bailieborough",18,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
100,SHIP CONSTRUCTION,Cavan,"Lime Park, Bailieborough",15,*N/A,"Stage 1 approved Q2-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
101,CAS CONSTRUCTION TURNKEY,Cavan,"Castlemanor Village, Cavan Town",29,Túath Housing Association Ltd,,,,,,Q3-2019,,,,,,,,,,,,,
102,CAS CONSTRUCTION,Cavan,"St. Killian's Housing Association Ltd., Mullagh, Co. Cavan",4,"St. Killian's Housing Association, Mullagh, Co. Cavan",,,,,Q1-2021,,,,,,,,,,,,,,
103,CALF Turnkey,Cavan,"16 Units, Fairgreen Park, Mullagh, Co. Cavan (Phase 1)",16,Clanmil Housing Association Ireland,,,,,,Q4-2021,,,,,,,,,,,,,
104,CALF Turnkey,Cavan,"Cluain Dara, Kingscourt, Co Cavan (Phase 1)",16,Clúid Housing,,,,,,Q4-2016,,,,,,,,,,,,,
105,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 1)",4,Tuath Housing Association,,,,,,Q2-2018,,,,,,,,,,,,,
106,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 2)",5,Tuath Housing Association,,,,,,Q3-2018,,,,,,,,,,,,,
107,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Cavan (Phase 3)",2,Tuath Housing Association,,,,,,Q4-2018,,,,,,,,,,,,,
108,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Co. Cavan (Phase 1)",12,Tuath Housing Association,,,,,Q2-2021,,,,,,,,,,,,,,
109,CALF Turnkey,Cavan,"Drumalee Manor, Drumalee, Co. Cavan (Phase 2)",13,Tuath Housing Association,,,,,Q2-2021,,,,,,,,,,,,,,
110,CALF Turnkey,Cavan,"Rampart View, Virginia, Co. Cavan (Phase 1)",2,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2019,,,,,,,,,,,,,
111,CALF Turnkey,Cavan,"Rampart View, Virginia, Co. Cavan (Phase 1)",5,Co - Operative Housing Ireland Society Limited,,,,,Q1-2020,,,,,,,,,,,,,,
112,CALF Turnkey,Cavan,"Rampart View, Virginia, Co. Cavan (Phase 2)",6,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2019,,,,,,,,,,,,,
113,CALF Turnkey,Cavan,"Rampart View, Virginia, Co. Cavan (Phase 3)",6,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2021,,,,,,,,,,,,,
114,CALF Turnkey,Cavan,"The Gallops, Cavan Town, Co. Cavan (Phase 1)",12,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
115,CALF Turnkey,Cavan,"The Gallops, Cavan Town, Co. Cavan (Phase 2)*",22,Clúid Housing,,,,,Q4-2019,,,,,,,,,,,,,,
116,SHIP CONSTRUCTION TURNKEY,Clare,"River View, School Road, Corofin",2,*N/A,,,,,,Q4-2018,,,,,,,,,,,,,
117,SHIP CONSTRUCTION TURNKEY,Clare,"Cloughleigh Road + Shallee Drive, Ennis",4,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
118,SHIP CONSTRUCTION TURNKEY,Clare,"Shantraud Woods, Killaloe",4,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
119,SHIP CONSTRUCTION TURNKEY,Clare,"Cluain Greine, Drumcliff Rd., Ennis ",45,N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
120,SHIP CONSTRUCTION TURNKEY,Clare,"Cluain Greine, Drumcliff Rd., Ennis ",16,N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
121,SHIP CONSTRUCTION SINGLE STAGE,Clare,"Cappagh Lodge, Sixmilebridge",2,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
122,SHIP CONSTRUCTION SINGLE STAGE,Clare,"St. Michaels Place, Kilmihil",2,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
123,SHIP CONSTRUCTION SINGLE STAGE,Clare,"Madden's Terrace, Clarecastle",2,*N/A,,,,,Q2-2021,,,,,,,,,,,,,,
124,SHIP CONSTRUCTION SINGLE STAGE,Clare,"Dun na Mara, Doonbeg",2,*N/A,,,,,,Q2-2021,,,,,,,,,,,,,
125,SHIP CONSTRUCTION SINGLE STAGE,Clare,"St Senan’s Terrace, Kilrush -No5-No 6",2,*N/A,,,,,,Q3-2021,,,,,,,,,,,,,
126,SHIP CONSTRUCTION,Clare,"Roslevan, Ennis",8,*N/A,,,,,,Q2-2020,,,,,,,,,,,,,
127,SHIP CONSTRUCTION,Clare,Feakle,13,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
128,SHIP CONSTRUCTION,Clare,"Glor Srutha, Knockbrack Lower, Clonlara",9,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
129,SHIP CONSTRUCTION,Clare,"Seaview Park, Quilty",18,*N/A,,,,,,Q4-2020,,,,,,,,,,,,,
130,SHIP CONSTRUCTION,Clare,"Ashline, Kilrush Road, Ennis",40,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
131,SHIP CONSTRUCTION,Clare,"Ballard Rd,Miltown Malbay",27,*N/A,,,,,Q3-2020,,,,,,,,,,,,,,
132,SHIP CONSTRUCTION,Clare,"Doonaun, Tulla",25,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
133,SHIP CONSTRUCTION,Clare,"Boheraroan, Newmarket-on-Fergus",18,*N/A,,,,,Q4-2020,,,,,,,,,,,,,,
134,SHIP CONSTRUCTION,Clare,"Feakle Rd., Scariff",18,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
135,SHIP CONSTRUCTION,Clare,"Kilkee Road, Doonbeg",8,*N/A,,"Stage 2 approved Q2-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
136,SHIP CONSTRUCTION,Clare,"Tulla Road, Roslevan, Ennis",8,*N/A,,,,"Stage 4 approved Q4-2021, the scheme is fully approved.",,,,,,,,,,,,,,,
137,SHIP CONSTRUCTION,Clare,"7, 8, 17 St Senan's Terrace, Kilrush ",3,*N/A,,,,,,Q4-2019,,,,,,,,,,,,,
138,SHIP CONSTRUCTION,Clare,"Drumcliffe Road, Ennis",26,*N/A,,"Stage 2 approved Q3-2021, full design/tender being prepared.",,,,,,,,,,,,,,,,,
139,SHIP CONSTRUCTION,Clare,"Deerpark, Ennistymon",30,*N/A,"Stage 1 approved Q1-2021, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
140,SHIP CONSTRUCTION,Clare,"Ballyliddan West, Sixmilebridge",15,*N/A,"Stage 1 approved Q3-2020, outline design and costs being prepared.",,,,,,,,,,,,,,,,,,
141,CAS CONSTRUCTION TURNKEY,Clare,"Haggard View, Clarecastle",2,Anvers Housing Association Ltd,,,,,,Q2-2018,,,,,,,,,,,,,
142,CAS CONSTRUCTION TURNKEY,Clare,"Haggard View, Clarecastle",2,Anvers Housing Association Ltd,,,,,,Q1-2018,,,,,,,,,,,,,
143,CAS CONSTRUCTION,Clare,"Cahercalla, Ennis (Phase 2)",15,Cuan an Chlair Ltd,,,,,,Q4-2020,,,,,,,,,,,,,
144,CAS CONSTRUCTION,Clare,"Laurel Lodge, Clare Road, Ennis",3,Society of Saint Vincent de Paul,,,,,,Q4-2016,,,,,,,,,,,,,
145,CAS CONSTRUCTION,Clare,Monaskeha Heights,4,Newgrove Housing Association Ltd,,,,,,Q3-2019,,,,,,,,,,,,,
146,CAS CONSTRUCTION,Clare,Roo East,4,Thomond Housing Association Ltd,,,,,,Q4-2018,,,,,,,,,,,,,
147,CAS CONSTRUCTION,Clare,"9 Elmwood, Ballycannon Heights, Meelick",4,Thomond Housing Association Ltd,,,,,,Q1-2019,,,,,,,,,,,,,
148,CAS CONSTRUCTION,Clare,"Teach Rua, Edenvale Ennis",4,Newgrove Housing Association Ltd,,,,,,Q2-2021,,,,,,,,,,,,,
149,CALF Turnkey,Clare,"Abbey View, Limerick Road, Ennis, Co. Clare (Phase 1)",9,Clúid Housing,,,,,Q4-2021,,,,,,,,,,,,,,
150,CALF Turnkey,Clare,"Abbey View, Limerick Road, Ennis, Co. Clare (Phase 2)*",15,Clúid Housing,,,,,Q4-2021,,,,,,,,,,,,,,
151,CALF Turnkey,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 1)",12,Clúid Housing,,,,,,Q2-2018,,,,,,,,,,,,,
152,CALF Turnkey,Clare,"Acha Bhile, Loughville, Lahinch Road, Ennis, Co Clare  (Phase 2)",18,Clúid Housing,,,,,,Q4-2018,,,,,,,,,,,,,
153,CALF Turnkey,Clare,"Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 1)*",2,Clúid Housing,,,,,,Q3-2020,,,,,,,,,,,,,
154,CALF Turnkey,Clare,"Cahercalla, Drumbiggle, Ennis, Co. Clare (Phase 2)*",2,Clúid Housing,,,,,Q2-2019,,,,,,,,,,,,,,
155,CALF Turnkey,Clare,"Cluain Fia, Crusheen, Co. Clare (Phase 1)*",2,Clúid Housing,,,,,,Q2-2020,,,,,,,,,,,,,
156,CALF Turnkey,Clare,"Cluain Fia, Crusheen, Co. Clare (Phase 2)*",2,Clúid Housing,,,,,,Q4-2020,,,,,,,,,,,,,
157,CALF Turnkey,Clare,"Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 1)",3,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2018,,,,,,,,,,,,,
158,CALF Turnkey,Clare,"Cluain Ros Leamhan, Roslevan, Tulla Road, Ennis, Co. Clare (Phase 2)",2,Co - Operative Housing Ireland Society Limited,,,,,,Q2-2019,,,,,,,,,,,,,
159,CALF Turnkey,Clare,"Gleann Cora, Newmarket on Fergus, Co. Clare (Phase 1)*",29,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2020,,,,,,,,,,,,,
160,CALF Turnkey,Clare,"Gleann Cora, Newmarket on Fergus, Co. Clare (Phase 2)*",2,Co - Operative Housing Ireland Society Limited,,,,,,Q3-2021,,,,,,,,,,,,,
161,CALF Turnkey,Clare,"Limerick Rd, Ennis, Co. Clare (Phase 1)*",18,Inis Housing Association,,,,,Q1-2022,,,,,,,,,,,,,,
162,CALF Turnkey,Clare,"Lios Anama, Sixmilebridge, Clare (Phase 1)",28,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2017,,,,,,,,,,,,,
163,CALF Construction,Clare,"Revised - Bruachlan, Westbury, Co Clare (Phase 1)",22,Co - Operative Housing Ireland Society Limited,,,,Q2-2021,,,,,,,,,,,,,,,
164,CALF Turnkey,Clare,"Roslevan, Tulla Road, Ennis, County Clare (Phase 1)",14,Co - Operative Housing Ireland Society Limited,,,,,,Q4-2021,,,,,,,,,,,,,
165,CALF Turnkey,Clare,"Roslevan, Tulla Road, Ennis, County Clare (Phase 2)*",15,Co - Operative Housing Ireland Society Limited,,,,,Q2-2021,,,,,,,,,,,,,,
