"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
906,"SHIP CONSTRUCTION","Kildare","Kilcock (Phase 2.2)",13,"*N/A","","","","","","Q1-2018"
907,"SHIP CONSTRUCTION","Kildare","Skenagun, Castledermot",2,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
908,"SHIP CONSTRUCTION TURNKEY","Kildare","Beech Park Wood, Leixlip",4,"*N/A","","","","","","Q3-2019"
909,"SHIP CONSTRUCTION TURNKEY","Kildare","Brookes Mill Prosperous",1,"*N/A","","","","","","Q4-2019"
910,"SHIP CONSTRUCTION TURNKEY","Kildare","Cluain Dara, Derrinturn, Kildare",1,"*N/A","","","","","","Q2-2019"
911,"SHIP CONSTRUCTION TURNKEY","Kildare","Greenfield, Maynooth",1,"*N/A","","","","","","Q4-2019"
912,"SHIP CONSTRUCTION TURNKEY","Kildare","Hawthorn Manor, Brockagh, Coill Dubh",3,"*N/A","","","","","","Q4-2019"
913,"SHIP CONSTRUCTION TURNKEY","Kildare","Bodkin Place, Kilmeague",16,"*N/A","","","","","","Q4-2017"
914,"SHIP CONSTRUCTION TURNKEY","Kildare","Drogheda Street, Monasterevin",6,"*N/A","","","","","","Q4-2017"
915,"SHIP CONSTRUCTION TURNKEY","Kildare","Oaktree, Tully Road, Kildare Town",8,"*N/A","","","","","","Q3-2018"
916,"SHIP CONSTRUCTION TURNKEY","Kildare","Moore Abbey Court, Monasterevin",2,"*N/A","","","","","","Q1-2018"
917,"SHIP CONSTRUCTION TURNKEY","Kildare","Drogheda Street, Monasterevin (Phase 2)",7,"*N/A","","","","","","Q1-2018"
918,"SHIP CONSTRUCTION TURNKEY","Kildare","Moss Brook, Prosperous",2,"*N/A","","","","","","Q1-2018"
919,"SHIP CONSTRUCTION TURNKEY","Kildare","Hawthorn Manor, Brockagh, Coill Dubh",2,"*N/A","","","","","","Q4-2018"
920,"SHIP CONSTRUCTION TURNKEY","Kildare","Whitethorn Park, Allenwood",2,"*N/A","","","","","","Q3-2018"
921,"SHIP CONSTRUCTION TURNKEY","Kildare","The Pike, Castledermot",6,"*N/A","","","","","","Q4-2018"
922,"SHIP CONSTRUCTION TURNKEY","Kildare","Grove Lane, Robertstown",3,"*N/A","","","","","Q1-2019",""
923,"SHIP CONSTRUCTION TURNKEY","Kildare","Brookes Mill, Prosperous",5,"*N/A","","","","","","Q4-2018"
924,"SHIP CONSTRUCTION TURNKEY","Kildare","The Green, Elsmore Naas",5,"*N/A","","","","","","Q4-2018"
925,"SHIP CONSTRUCTION TURNKEY","Kildare","Oakwood Park, Derrinturn ",19,"*N/A","","","","","Q4-2018",""
926,"SHIP CONSTRUCTION TURNKEY","Kildare","Oaktree, Tully Road, Kildare Town",18,"*N/A","","","","","","Q2-2019"
927,"SHIP CONSTRUCTION TURNKEY","Kildare","Oaktree, Tully Road, Kildare Town (Phase 2)",20,"*N/A","","","","","","Q3-2019"
928,"SHIP CONSTRUCTION TURNKEY","Kildare","Oakwood Park, Derrinturn ",10,"*N/A","","","","","","Q1-2019"
929,"SHIP CONSTRUCTION TURNKEY","Kildare","Oakwood Park, Derrinturn ",10,"*N/A","","","","","","Q3-2019"
930,"SHIP CONSTRUCTION TURNKEY","Kildare","School Walk, Allenwood",4,"*N/A","","","","","","Q4-2019"
931,"SHIP CONSTRUCTION TURNKEY","Kildare","Stoneleigh, Naas",6,"*N/A","","","","","","Q4-2019"
932,"SHIP CONSTRUCTION TURNKEY","Kildare","The Willows, Allenwood",2,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
933,"SHIP CONSTRUCTION TURNKEY","Kildare","The Willows, Allenwood",4,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
934,"SHIP CONSTRUCTION TURNKEY","Kildare","Barrack Close, Ballymore Eustace",4,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
935,"SHIP CONSTRUCTION TURNKEY","Kildare","Hawthorn Manor, Brockagh, Coill Dubh",21,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
936,"CALF Construction","Kilkenny","Park Lane, Friary Walk, Callan, Co Kilkenny (Phase 1)*",16,"Cluid Housing","","","","","","Q2-2019"
937,"CALF Construction","Kilkenny","Walkin St Kilkenny (Phase 1)",27,"Oaklee Housing","","","","","","Q4-2019"
938,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 1)",4,"Co-operative Housing Ireland","","","","","","Q4-2018"
939,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 2)",6,"Co-operative Housing Ireland","","","","","","Q4-2018"
940,"CALF Turnkey","Kilkenny","Logan Square, Thomastown, Co Kilkenny (Phase 1)*",16,"Oaklee Housing","","","","","","Q2-2017"
941,"CALF Turnkey","Kilkenny","Margaret�s Field, Callan Road, Kilkenny City (Phase 1)",40,"Respond","","","","","Q1-2019",""
942,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 1)*",50,"Respond","","","","","Q4-2018",""
943,"CALF Turnkey","Kilkenny","O�Loughlin Court, Kilkenny  (Phase 1)",2,"Respond","","","","","","Q4-2018"
944,"CALF Turnkey","Kilkenny","Side Road, Moneenroe, Castlecomer, Co. Kilkenny (Phase 1)",9,"Oaklee Housing","","","","","","Q3-2018"
945,"CALF Turnkey","Kilkenny","Golf Links Road, Kilkenny (Phase 1)*",39,"Respond","","","","","","Q4-2019"
946,"CALF Turnkey","Kilkenny","Love Lane, Castlecomer, Co. Kilkenny (Phase 1)",4,"Co-operative Housing Ireland","","","","","","Q3-2019"
947,"CAS CONSTRUCTION","Kilkenny","Bridge Street, Callan",6,"Good Shepherd Services Ltd","","","","","","Q4-2019"
948,"CAS CONSTRUCTION","Kilkenny","Kingsriver, Ennisnag",4,"Kingsriver Housing Association Limited","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
949,"CAS CONSTRUCTION","Kilkenny","Garrin Green",6,"SOS Kilkenny Housing Association Ltd","","","","","","Q4-2018"
950,"CAS CONSTRUCTION","Kilkenny","Hazelbrook, Newrath",2,"Waterford Dove Housing Association","","","","","","Q1-2018"
951,"CAS CONSTRUCTION","Kilkenny","Good Shepherd Centre - Wing 1952",12,"The Good Shepherd Centre (Kilkenny) Ltd","","","","","","Q4-2018"
952,"CAS CONSTRUCTION","Kilkenny","""Brooke House"", Thomastown",5,"Camphill Communities of Ireland","","","","","","Q3-2017"
953,"CAS CONSTRUCTION","Kilkenny","Friary Walk, Callan",12,"Cluid Housing Association","","","","","","Q3-2016"
954,"CAS CONSTRUCTION","Kilkenny","Garden Cottage, The Workhouse, Callan",1,"Camphill Communities of Ireland","","","","","","Q4-2017"
955,"CAS CONSTRUCTION","Kilkenny","""Red Barn"" Patrick Street, Ballyragget",12,"Good Shepherd Services Ltd","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
956,"CAS CONSTRUCTION","Kilkenny","Smith's Road, Ballyraggett",4,"Oaklee Housing Trust","","","","","","Q4-2018"
957,"CAS CONSTRUCTION","Kilkenny","Fennelly's Lane Jerpoint",3,"Camphill Communities of Ireland","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
958,"CAS CONSTRUCTION","Kilkenny","8/9 Kilkenny Street, Castlecomer",4,"Good Shepherd Services Ltd","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
959,"CAS CONSTRUCTION","Kilkenny","19/21 Blackmill Street, Kilkenny",12,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
960,"CAS CONSTRUCTION","Kilkenny","Brother Thomas Place, Church Lane, Kilkenny",12,"Good Shepherd Services Ltd","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
961,"CAS CONSTRUCTION","Kilkenny","Grennan Villa, Thomastown",5,"Camphill Communities of Ireland","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
962,"CAS CONSTRUCTION","Kilkenny","Fiennes Court, William Street, Kilkenny",7,"Good Shepherd Services Ltd","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
963,"CAS CONSTRUCTION","Kilkenny","St. John of god Convent, College Road, Kilkenny",12,"Sophia Housing Association Ltd","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
964,"CAS CONSTRUCTION TURNKEY","Kilkenny","Golf Links Road, Kilkenny",15,"Respond","","","","","","Q3-2019"
965,"SHIP CONSTRUCTION","Kilkenny","Blackstaff House, Callan",4,"*N/A","","","","","","Q4-2019"
966,"SHIP CONSTRUCTION","Kilkenny","Barna, Freshford",1,"*N/A","","","","","","Q2-2018"
967,"SHIP CONSTRUCTION","Kilkenny","10 Golf Links Road, Kilkenny",6,"*N/A","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
968,"SHIP CONSTRUCTION","Kilkenny","Crokers Hill (Phase 2) Kennyswell Road, Kilkenny",35,"*N/A","Stage 1 approved Q2-2017, outline design and costs being prepared.","","","","",""
969,"SHIP CONSTRUCTION","Kilkenny","Main Street, Piltown",17,"*N/A","","","","","Q1-2019",""
970,"SHIP CONSTRUCTION","Kilkenny","Station Road, Ballyragget",22,"*N/A","","","","","Q3-2019",""
971,"SHIP CONSTRUCTION","Kilkenny","Bolton, Callan",38,"*N/A","","","","","Q2-2018",""
972,"SHIP CONSTRUCTION","Kilkenny","Donaguile, Castlecomer",33,"*N/A","","","","","Q1-2019",""
973,"SHIP CONSTRUCTION","Kilkenny","Rosehill, Kells Road, Kilkenny",6,"*N/A","","","","","","Q1-2017"
974,"SHIP CONSTRUCTION","Kilkenny","Gaol Road, Kilkenny",10,"*N/A","","","","","","Q3-2016"
975,"SHIP CONSTRUCTION","Kilkenny","Greensbridge House",5,"*N/A","","","","","","Q4-2018"
976,"SHIP CONSTRUCTION","Kilkenny","The Broguemaker, Kilkenny",18,"*N/A","","","Stage 3 approved Q3-2019, the scheme is now approved to proceed to tender.","","",""
977,"SHIP CONSTRUCTION","Kilkenny","Ladywell, Thomastown",25,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
978,"SHIP CONSTRUCTION","Kilkenny","Crokers Hill, Kennyswell Road, Kilkenny",51,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
979,"SHIP CONSTRUCTION","Kilkenny","Group Home Cloghabrody, Thomastown",4,"*N/A","","","","","Q3-2019",""
980,"SHIP CONSTRUCTION","Kilkenny","Inchacarron, Mullinavat",2,"*N/A","","","","","Q3-2019",""
981,"SHIP CONSTRUCTION","Kilkenny","Shanganny, Jenkinstown",2,"*N/A","","","","","Q4-2019",""
982,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",11,"*N/A","","","","","","Q2-2017"
983,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Newpark, Castlecomer Road, Kilkenny",7,"*N/A","","","","","","Q1-2017"
984,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank",8,"*N/A","","","","","","Q1-2018"
985,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",5,"*N/A","","","","","","Q4-2017"
986,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank (Phase 2)",1,"*N/A","","","","","","Q3-2018"
987,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford (Phase 3)",18,"*N/A","","","","","","Q4-2018"
988,"SHIP CONSTRUCTION TURNKEY","Kilkenny","New Road, Mooncoin",4,"*N/A","","","","","Q3-2018",""
989,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Chapel Street, Mooncoin",2,"*N/A","","","","","Q3-2018",""
990,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Ogenty, Gowran",12,"*N/A","","","","","","Q4-2018"
991,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Lower Kilmacow",16,"*N/A","","","","Stage 4 approved Q2-2019, the scheme is fully approved.","",""
992,"CALF Construction","Laois","Kirwan Park, Mountmellick, Co Laois  (Phase 1)",2,"Cluid Housing","","","","","","Q2-2018"
993,"CALF Construction","Laois","POST TENDER - Cluinin  Mountrath, Co. Laois (Phase 1)",11,"Oaklee Housing","","","","","","Q1-2018"
994,"CALF Turnkey","Laois","Ballickmoyler, Graigcullen, Laois (Phase 1)*",20,"Co-operative Housing Ireland","","","","","Q3-2019",""
995,"CALF Turnkey","Laois","Bellingham, Portlaoise, Co. Laois (Phase 1)",4,"Cluid Housing","","","","","","Q3-2019"
996,"CALF Turnkey","Laois","Bellingham, Portlaoise, Co. Laois (Phase 3)",5,"Cluid Housing","","","","","Q1-2017",""
997,"CALF Turnkey","Laois","Bellingham, Portlaoise, Co. Laois (Phase 4)*",9,"Cluid Housing","","","","","Q1-2017",""
998,"CALF Turnkey","Laois","Bellingham, Portlaoise, Co. Laois (Phase 5)*",6,"Cluid Housing","","","","","Q1-2017",""
999,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 1)*",17,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1000,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 2)",19,"T�ath Housing Association Ltd","","","","","Q3-2019",""
1001,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 1)",17,"T�ath Housing Association Ltd","","","","","","Q3-2018"
1002,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 2)",9,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1003,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 3)",13,"T�ath Housing Association Ltd","","","","","","Q4-2018"
1004,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 1)*",6,"North & East Housing Association Ltd","","","","","Q1-2019",""
1005,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 2)",6,"North & East Housing Association Ltd","","","","","Q1-2019",""
1006,"CALF Turnkey","Laois","Droimnin, Stradbally, Co Laois  (Phase 1)",6,"Cluid Housing","","","","","","Q3-2018"
1007,"CALF Turnkey","Laois","Main Street, Stradbally, Co. Laois (Phase 1)",16,"North & East Housing Association Ltd","","","","","Q1-2019",""
1008,"CALF Turnkey","Laois","South Dublin Road, Kilminchy, Portlaoise, Co. Laois (Phase 1)",13,"Co-operative Housing Ireland","","","","Q4-2019","",""
1009,"CALF Turnkey","Laois","South Dublin Road, Kilminchy, Portlaoise, Co. Laois (Phase 2)",14,"Co-operative Housing Ireland","","","","Q4-2019","",""
1010,"CALF Turnkey","Laois","South Dublin Road, Kilminchy, Portlaoise, Co. Laois (Phase 3)*",9,"Co-operative Housing Ireland","","","","Q4-2019","",""
1011,"CALF Turnkey","Laois","The Glen, Kilnacourt, Portarlington, Co. Laois (Phase 1)",18,"Co-operative Housing Ireland","","","","Q4-2019","",""
1012,"CALF Turnkey","Laois","Wilton Lawns, Portarlington, Co. Laois (Phase 1)",2,"Respond","","","","Q4-2019","",""
1013,"CALF Turnkey","Laois","Bellingham, Portlaoise, Co. Laois (Phase 2)",6,"Cluid Housing","","","","","","Q4-2019"
1014,"CAS CONSTRUCTION","Laois","Presentation Convent & Lands, Portlaoise, ",47,"Sophia Housing Association Ltd","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1015,"SHIP CONSTRUCTION","Laois","Moore Street, Rathdowney",6,"*N/A","","","Stage 3 approved Q3-2019, the scheme is now approved to proceed to tender.","","",""
1016,"SHIP CONSTRUCTION","Laois","Ballymorris Road, Portarlington",22,"*N/A","","","","","Q3-2019",""
1017,"SHIP CONSTRUCTION","Laois","Gleann na Glaise, Ballyroan",10,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
1018,"SHIP CONSTRUCTION","Laois","Pattison Est. Mountmellick",10,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
1019,"SHIP CONSTRUCTION","Laois","Shannon Street, Mountrath",6,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1020,"SHIP CONSTRUCTION","Laois","Conniberry Way, Old Knockmay Road, Portlaoise",33,"*N/A","","","","","","Q2-2018"
1021,"SHIP CONSTRUCTION","Laois","Harbour Court, Mountmellick",6,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1022,"SHIP CONSTRUCTION","Laois","Mooreville, Rathdowney",8,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1023,"SHIP CONSTRUCTION","Laois","Sean Doire, Cork Road, Durrow",22,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1024,"SHIP CONSTRUCTION","Laois","St Kieran's Park, Errill",14,"*N/A","","Stage 2 approved Q4-2019, full design/tender being prepared.","","","",""
1025,"SHIP CONSTRUCTION","Laois","Clonrooske, Knockmay",11,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1026,"SHIP CONSTRUCTION","Laois","Carraig Glas, Stradbally",26,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1027,"SHIP CONSTRUCTION","Laois","Hillview, Portlaoise",2,"*N/A","","","","","Q4-2019",""
1028,"SHIP CONSTRUCTION","Laois","The Orchard, Stradbally",6,"*N/A","","","","","Q4-2019",""
1029,"SHIP CONSTRUCTION","Laois","Harpurs Lane, Portlaoise",1,"*N/A","","","","","","Q4-2019"
1030,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",6,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1031,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",5,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1032,"CALF Turnkey","Leitrim","Cnoc an Luir, Drumshanbo, Co. Leitrim (Phase 1)",10,"T�ath Housing Association Ltd","","","","","","Q4-2019"
1033,"CAS CONSTRUCTION","Leitrim","Ballinamore",2,"Society of Saint Vincent de Paul","","","","","","Q4-2017"
1034,"SHIP CONSTRUCTION","Leitrim","Autumn View, Summerhill, Carrick on Shannon",27,"*N/A","","","","","Q4-2019",""
1035,"SHIP CONSTRUCTION","Leitrim","Taobh Tire, Manorhamilton (Phase 2)",7,"*N/A","","","","","","Q4-2018"
1036,"SHIP CONSTRUCTION","Leitrim","Taobh Tire, Manorhamilton (Phase 3)",5,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
1037,"SHIP CONSTRUCTION","Leitrim","Lahard, Ballinamore",10,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
1038,"SHIP CONSTRUCTION TURNKEY","Leitrim","Drumshanbo",9,"*N/A","","","","","","Q3-2019"
1039,"SHIP CONSTRUCTION TURNKEY","Leitrim","Church Lane, Ballinamore",9,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1040,"SHIP CONSTRUCTION TURNKEY","Leitrim","Roosky",7,"*N/A","","","","","","Q4-2019"
1041,"SHIP CONSTRUCTION RAPID","Limerick","Old Christians Site, Rathbane",43,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1042,"CALF Construction","Limerick","Hyde Road, Limerick City (Phase 1)",20,"Cluid Housing","","","","","","Q1-2018"
1043,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 1)",2,"Respond","","","","","","Q4-2018"
1044,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 2)",2,"Respond","","","","","","Q4-2018"
1045,"CALF Turnkey","Limerick","Ballygrennan Close, Moyross, Limerick  (Phase 3)",2,"Respond","","","","","","Q4-2018"
1046,"CALF Turnkey","Limerick","Cluain Ard, Fedamore, Co Limerick  (Phase 1)",2,"Co-operative Housing Ireland","","","","","","Q1-2018"
1047,"CALF Turnkey","Limerick","Cluain Ard, Fedamore, Co Limerick  (Phase 2)",2,"Co-operative Housing Ireland","","","","","","Q3-2018"
1048,"CALF Turnkey","Limerick","Drominbeg, Rhebogue, Limerick (Phase 1)",10,"Co-operative Housing Ireland","","","","Q2-2019","",""
1049,"CALF Turnkey","Limerick","Drominbeg, Rhebogue, Limerick (Phase 2)",10,"Co-operative Housing Ireland","","","","Q2-2019","",""
1050,"CALF Turnkey","Limerick","Revised - Ard Aulin, Mungret, Co Limerick (Phase 1)",7,"Cluid Housing","","","","","","Q2-2017"
1051,"CAS CONSTRUCTION","Limerick","Towerfield Crescent, Croom",16,"Croom Voluntary Housing Association Ltd","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1052,"CAS CONSTRUCTION","Limerick","Cappamore",10,"Cappamore Housing Association Ltd","","Stage 2 approved Q1-2019, full design/tender being prepared.","","","",""
1053,"CAS CONSTRUCTION","Limerick","Speakers Corner, Limerick City",4,"Simon Community : Midwest Simon","","","","","","Q3-2018"
1054,"CAS CONSTRUCTION","Limerick","Cuan Mhuire, Bruree",6,"Cuan Mhuire Teoranta","","","","","","Q3-2018"
1055,"CAS CONSTRUCTION","Limerick","Mirth, Thomondgate",18,"Associated Charities Trust Ltd","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
1056,"CAS CONSTRUCTION","Limerick","Cois na Feile, Abbeyfeale ",12,"Cluid Housing Association","","","","","","Q4-2016"
1057,"CAS CONSTRUCTION","Limerick","2/3 Mallow Street",6,"Peter McVerry Trust Ltd","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
1058,"CAS CONSTRUCTION","Limerick","St. Pauls Convent, Kilfinane",9,"Sophia Housing Association Ltd","Stage 1 approved Q4-2018, outline design and costs being prepared.","","","","",""
1059,"CAS CONSTRUCTION","Limerick","McGarry House, 7 Alphonsus Street",8,"Arlington Novas Ireland Ltd","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1060,"CAS CONSTRUCTION","Limerick","47 & 48 Main Street, Croom, Limerick",4,"Croom Voluntary Housing Association Ltd","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1061,"CAS CONSTRUCTION TURNKEY","Limerick","Barrack Mews, Brennan's Row, Cathedral Place",2,"Arlington Novas Ireland Ltd","","","","","","Q4-2019"
1062,"CAS CONSTRUCTION TURNKEY","Limerick","Barrack Mews, Brennan's Row, Cathedral place",4,"Arlington Novas Ireland Ltd","","","","","Q3-2019",""
1063,"CAS CONSTRUCTION TURNKEY","Limerick","Carebright Community, Ardykeohane, Bruff",6,"Carebright Ltd","","","","","","Q1-2019"
1064,"REGENERATION","Limerick","Lord Edward Street, P2: Main Contract",79,"*N/A","","","","","","Q4-2017"
1065,"REGENERATION","Limerick","Lord Edward Street, P2: Main Contract",2,"*N/A","","","","","","Q1-2017"
1066,"REGENERATION","Limerick","Gaol Lane",1,"*N/A","","Stage 2 approved Q3-2016, full design/tender being prepared.","","","",""
1067,"REGENERATION","Limerick","Sheep / Athlunkards Street",8,"T�ath Housing Association Ltd","","Stage 2 approved Q2-2014, full design/tender being prepared.","","","",""
1068,"REGENERATION","Limerick","Churchfield",19,"*N/A","","","","","","Q1-2018"
1069,"REGENERATION","Limerick","Churchfield (Phase 2)",38,"Cluid Housing Association","","Stage 2 approved Q4-2014, full design/tender being prepared.","","","",""
1070,"REGENERATION","Limerick","Cosgrave Park",9,"Co-operative Housing Ireland (Formerly NABCo)","","","Stage 3 approved Q1-2018, the scheme is now approved to proceed to tender.","","",""
1071,"REGENERATION","Limerick","Orchard Site",26,"Oaklee Housing Trust","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
1072,"REGENERATION","Limerick","176 & 177 Cliona Park",2,"*N/A","","","","","","Q2-2016"
1073,"REGENERATION","Limerick","Cliona Park (Phase 2)",10,"*N/A","","","","","","Q2-2017"
1074,"REGENERATION","Limerick","8-10 Gaol Lane",3,"*N/A","","","","","","Q4-2016"
1075,"REGENERATION","Limerick","1 3 Weston Gardens",3,"*N/A","","","","","","Q2-2016"
1076,"REGENERATION","Limerick","2016 Moyross Rebuild",6,"*N/A","","","","","","Q4-2016"
1077,"REGENERATION","Limerick","2016 Southhill Rebuild",8,"*N/A","","","","","","Q4-2016"
1078,"REGENERATION","Limerick","2016 St. Mary's Park Rebuild",9,"*N/A","","","","","","Q4-2016"
1079,"REGENERATION","Limerick","BCW Vacant Refurbs, Lot 1 & 2**",14,"*N/A","","","","","","Q4-2016"
1080,"REGENERATION","Limerick","St. Mary's Park Infills",15,"*N/A","","","","","","Q4-2018"
1081,"REGENERATION","Limerick","Cliona Park (Phase 3)",18,"T�ath Housing Association Ltd","","Stage 2 approved Q3-2016, full design/tender being prepared.","","","",""
1082,"REGENERATION","Limerick","45A-46A Cliona Park",2,"*N/A","","","","","Q4-2019",""
1083,"REGENERATION","Limerick","Dalgaish Park",27,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
1084,"REGENERATION","Limerick","2017 St Mary's Park Rebuild",1,"*N/A","","","","","","Q4-2017"
1085,"REGENERATION","Limerick","2017 Ballinacurra Weston Rebuild",1,"*N/A","","","","","","Q4-2017"
1086,"REGENERATION","Limerick","2017 Southill Rebuilds",13,"*N/A","","","","","","Q4-2017"
1087,"REGENERATION","Limerick","2017 Moyross Rebuild",1,"*N/A","","","","","","Q4-2017"
1088,"REGENERATION","Limerick","Churchfield (Phase 1.1)",23,"*N/A","","","","","","Q2-2018"
1089,"REGENERATION","Limerick","St. Mary's Park Infills (Phase 2)",4,"*N/A","","","","","","Q1-2019"
1090,"REGENERATION","Limerick","2019 Rebuilds (Southill, Moyross, St Mary's Park and Ballinacurra Weston)",8,"*N/A","","","","","","Q4-2019"
1091,"SHIP CONSTRUCTION","Limerick","Burke Avenue, Limerick City",12,"*N/A","","","","","","Q4-2019"
1092,"SHIP CONSTRUCTION","Limerick","Barnakyle, Patrickswell (Site 2)",24,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
1093,"SHIP CONSTRUCTION","Limerick","Patrick�s Villas, Castleconnell",4,"*N/A","","","","","Q3-2019",""
1094,"SHIP CONSTRUCTION","Limerick","Ballysimon, Greenhill Road ",14,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1095,"SHIP CONSTRUCTION","Limerick","Gough Place, Rosbrien Road, Limerick",17,"*N/A","","","Stage 3 approved Q3-2019, the scheme is now approved to proceed to tender.","","",""
1096,"SHIP CONSTRUCTION","Limerick","Wallers Well, Limerick City (Phase 2)",13,"*N/A","","","","","Q2-2019",""
1097,"SHIP CONSTRUCTION","Limerick","Clonmacken, Limerick City",43,"*N/A","","","","","Q3-2019",""
1098,"SHIP CONSTRUCTION","Limerick","Deerpark, Adare",30,"*N/A","Stage 1 approved Q2-2015, outline design and costs being prepared.","","","","",""
1099,"SHIP CONSTRUCTION","Limerick","Glenview Drive, Hospital",20,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1100,"SHIP CONSTRUCTION","Limerick","Clare Street, Limerick City",7,"*N/A","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
1101,"SHIP CONSTRUCTION","Limerick","Hasset Villas, Thomondgate",3,"*N/A","","","","","","Q4-2018"
1102,"SHIP CONSTRUCTION","Limerick","Fannings Corner, Limerick City",3,"*N/A","","","","","","Q4-2019"
1103,"SHIP CONSTRUCTION","Limerick","Kilmurry Court, Garryowen",7,"*N/A","","","","","","Q4-2019"
