"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
636,"SHIP CONSTRUCTION","Fingal","Cappaghfinn (Phase 1)",14,"*N/A","","","","","","Q2-2016"
637,"SHIP CONSTRUCTION","Fingal","Redevelopment of Community Centre, Pinewood, Balbriggan",2,"*N/A","","","","","","Q3-2019"
638,"SHIP CONSTRUCTION","Fingal","Rivermeade, St. Margarets",2,"*N/A","","","","","","Q2-2019"
639,"SHIP CONSTRUCTION","Fingal","Rowlestown (Phase 1)",10,"*N/A","","","","","","Q2-2019"
640,"SHIP CONSTRUCTION","Fingal","Rathbeale Road, Swords",24,"*N/A","","","","","Q4-2018",""
641,"SHIP CONSTRUCTION RAPID","Fingal","Hansfield, Ongar, Dublin 15",36,"*N/A","","","","","","Q3-2017"
642,"SHIP CONSTRUCTION","Fingal","Rowlestown (Phase 2)",4,"*N/A","","","","","","Q3-2019"
643,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2017"
644,"SHIP CONSTRUCTION","Fingal","Tucketts Lane, Howth, Co Dublin",8,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
645,"SHIP CONSTRUCTION","Fingal","Wellview Infill",20,"*N/A","","","Stage 3 approved Q4-2019, the scheme is now approved to proceed to tender.","","",""
646,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.2) ",15,"*N/A","","","","","","Q1-2018"
647,"SHIP CONSTRUCTION","Fingal","Outlands, Rathbeale Road, Swords, Co.Dublin",11,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
648,"SHIP CONSTRUCTION","Fingal","Cappagh Lands, Cappagh Road Finglas",69,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
649,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.3)",5,"*N/A","","","","","","Q2-2018"
650,"SHIP CONSTRUCTION","Fingal","Churchfields, Phase 2B, Mulhuddart, Dublin 15.",70,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
651,"SHIP CONSTRUCTION","Fingal","Leonards Garage, Lusk, Co. Dublin",14,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
652,"SHIP CONSTRUCTION","Fingal","Church Road, Lusk",5,"*N/A","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
653,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk (Phase 2.4)",4,"*N/A","","","","","","Q3-2018"
