"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report of Final Turnkey/CALF approval","On site","Completed"
200,"SHIP CONSTRUCTION","Cork County","Oliver Plunkett Hill, Fermoy",10,"*N/A","","","","","","Q2-2017"
201,"SHIP CONSTRUCTION","Cork County","Townsend Street, Skibbereen",6,"*N/A","","Stage 2 approved Q1-2018, full design/tender being prepared.","","","",""
202,"SHIP CONSTRUCTION","Cork County","Forest View, Mallow",8,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
203,"SHIP CONSTRUCTION","Cork County","Harbour Hill, Cobh",1,"*N/A","","","","","","Q2-2018"
204,"SHIP CONSTRUCTION","Cork County","Kilnagleary Carrigaline phase 1A",10,"*N/A","","","","","","Q4-2018"
205,"SHIP CONSTRUCTION","Cork County","Kilnagleary Carrigaline (Phase 1/C)",16,"*N/A","","","","","Q1-2018",""
206,"SHIP CONSTRUCTION","Cork County","Kilnagleary Carrigaline (Phase 1/D)",18,"*N/A","","","","","Q1-2018",""
207,"SHIP CONSTRUCTION","Cork County","Kearney's field Dunmanway",18,"*N/A","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
208,"SHIP CONSTRUCTION","Cork County","Madonna House, Ballincollig",20,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
209,"SHIP CONSTRUCTION","Cork County","Richmond Court, Bandon",4,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
210,"SHIP CONSTRUCTION","Cork County","Brigown Road, Mitchelstown",8,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
211,"SHIP CONSTRUCTION","Cork County","Sleaveen Sleaveen East, Macroom",8,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
212,"SHIP CONSTRUCTION","Cork County","Kilnagleary, Carrigaline Phase 1B",5,"*N/A","","","","","","Q4-2018"
213,"CAS CONSTRUCTION","Cork County","Sisters of Mercy Church and Convent at Knocknamuck, Bantry Bay",16,"Cluid Housing Association","Stage 1 approved Q3-2016, outline design and costs being prepared.","","","","",""
214,"CAS CONSTRUCTION","Cork County","Cuan Barra, Kilmore, Ballingeary",3,"Coiste Tithe Uibh Laoire Teoranta","","","","","","Q4-2018"
215,"CAS CONSTRUCTION","Cork County","Caim Hill, Townlands, Rosscarbery",9,"Rosscarbery Housing Association Ltd","","","","","Q1-2018",""
216,"CAS CONSTRUCTION","Cork County","Avenue House, Bandon",9,"Bandon Geriatric ? Community Council","","","","","","Q1-2018"
217,"CAS CONSTRUCTION","Cork County","Church View, Love Lane, Charleville",4,"Charleville Care Project Ltd","","","","","Q4-2018",""
218,"CAS CONSTRUCTION","Cork County","Fellowship House, Togher",31,"Tabor Lodge Addiction ? Housing Services Ltd","","","","","","Q2-2018"
219,"CAS CONSTRUCTION","Cork County","Baile Bhuire, Macroom",3,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
220,"CAS CONSTRUCTION","Cork County","Charleville, Church View, Love Lane, Charleville",8,"Charleville Care Project Ltd","","Stage 2 approved Q4-2018, full design/tender being prepared.","","","",""
221,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Cork County","The Miles, Clonakilty",54,"*N/A","","","Q1-2018","","",""
222,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Cork County","Poundhill, Skibbereen",50,"*N/A","","","Q1-2018","","",""
223,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Cork County","Oakwood, Macroom",50,"*N/A","","","Q1-2018","","",""
224,"CALF Construction","DLR","Abbeyview, Monkstown, Co. Dublin (Phase 1)",11,"Cluid Housing","","","","Q4-2018","",""
225,"CALF Construction","DLR","Enniskerry Road, Sandyford, Dublin 18 (Phase 1)",105,"T�ath Housing Association Ltd","","","","Q1-2017","",""
226,"CALF Turnkey","DLR","Clays Farm, Ballyogan Road (Phase 1)  (Phase 1)*",44,"The Iveagh Trust","","","","","Q3-2017",""
227,"CALF Turnkey","DLR","Woodbank, Dublin Rd, Shankill, Co Dublin  (Phase 1)*",4,"Cluid Housing","","","","","","Q3-2017"
228,"CALF Turnkey","DLR","Bishops Gate, Kilternan, Dublin 18  (Phase 1)*",4,"Cluid Housing","","","","","","Q3-2018"
229,"CALF Turnkey","DLR","Bishops Gate, Kilternan, Dublin 18  (Phase 2)*",2,"Cluid Housing","","","","","","Q3-2018"
230,"CALF Turnkey","DLR","Ardilea Crescent, Clonskeagh, Dublin 14 (Phase 1)*",8,"T�ath Housing Association Ltd","","","","","","Q4-2018"
231,"CALF Turnkey","DLR","Block C, Abbey Road, Monkstown, (Phase 1)*",3,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
232,"CALF Turnkey","DLR","Greenbank House, Upper Glenageary Road, Dun Laoghaire, Co. Dublin (Phase 1)",1,"St John of God Housing Association Ltd","","","","","","Q4-2018"
233,"CALF Turnkey","DLR","Hyde Road, Belmont, Stepaside, Co. Dublin (Phase 1)*",8,"Respond","","","","","","Q4-2018"
234,"CALF Turnkey","DLR","Our Ladys Grove, Goatstown, Dublin 14 (Phase 1)*",2,"Respond","","","","","","Q4-2018"
235,"CALF Turnkey","DLR","Stillorgan Gate, Kilmacud Road Upper, Stillorgan, Co. Dublin (Phase 1)*",2,"Cluid Housing","","","","","","Q4-2018"
236,"CALF Turnkey","DLR","The Avenue, Glenside,  Carrickmines Green, Dublin 18 (Phase 1)*",5,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
237,"CALF Turnkey","DLR","Stillorgan Gate, Kilmacud Road Upper, Co Dublin  (Phase 1)*",4,"Cluid Housing","","","","","","Q4-2017"
238,"SHIP CONSTRUCTION TURNKEY","DLR","Hazelbrook, Nutgrove, Churchtown",28,"*N/A","","","","","","Q4-2017"
239,"SHIP CONSTRUCTION TURNKEY","DLR","Dunedin Terrace., Monkstown, Co. Dublin",14,"*N/A","","","","","","Q4-2018"
240,"SHIP CONSTRUCTION RAPID","DLR","Glenamuck/Stillorgan (Rockville Drive)",14,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
241,"SHIP CONSTRUCTION RAPID","DLR","George's Place",12,"*N/A","","","","","","Q2-2018"
242,"SHIP CONSTRUCTION","DLR","Park House, 66 George's Street, Dun Laoghaire",4,"*N/A","","Stage 2 approved Q4-2016, full design/tender being prepared.","","","",""
243,"SHIP CONSTRUCTION","DLR","Pottery Road, Dun Laoghaire",4,"*N/A","","","","","","Q3-2018"
244,"SHIP CONSTRUCTION","DLR","Temple Road",3,"*N/A","","","","","","Q2-2018"
245,"SHIP CONSTRUCTION","DLR","Assistant Harbour Master House",2,"*N/A","","","","","","Q3-2017"
246,"SHIP CONSTRUCTION","DLR","The Brambles Park Close Sallynoggin",10,"*N/A","","","","","","Q2-2018"
247,"SHIP CONSTRUCTION","DLR","The Mews Sallynoggin Park",4,"*N/A","","","","","","Q4-2017"
248,"SHIP CONSTRUCTION","DLR","Shanganagh Park Lodge",1,"*N/A","","","","","","Q2-2016"
249,"SHIP CONSTRUCTION","DLR","Rosemount Court",44,"*N/A","","","","","","Q4-2018"
250,"SHIP CONSTRUCTION","DLR","Broadford Rise",21,"*N/A","","","","","Q3-2017",""
251,"SHIP CONSTRUCTION","DLR","Fitzgerald Park",33,"*N/A","","","","","","Q4-2018"
252,"SHIP CONSTRUCTION","DLR","Rochestown House (Phase 3)",14,"*N/A","","","","","","Q3-2018"
253,"SHIP CONSTRUCTION","DLR","St Michael's Terrace",4,"*N/A","","","","","","Q3-2017"
254,"SHIP CONSTRUCTION","DLR","Clontibret House",4,"*N/A","","","","","","Q4-2016"
255,"SHIP CONSTRUCTION","DLR","Cromlech Close",15,"*N/A","","","","","","Q3-2016"
256,"SHIP CONSTRUCTION","DLR","Rochestown House (Phase 2)",34,"*N/A","","","","","","Q3-2016"
257,"SHIP CONSTRUCTION","DLR","Ballyogan Ave., Ballyogan, Co. Dublin",2,"*N/A","","","","","Q4-2018",""
258,"SHIP CONSTRUCTION","DLR","St. Laurence�s Park, Stillorgan, Co. Dublin",77,"*N/A","Stage 1 approved Q2-2018, outline design and costs being prepared.","","","","",""
259,"SHIP CONSTRUCTION","DLR","Fitzgerald Park",17,"*N/A","","","","","Q4-2016",""
260,"CAS CONSTRUCTION","DLR","Obelisk Walk, Blackrock",4,"St. John of God Housing Association Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
261,"CALF Turnkey","Donegal","Ardrawer, Kiltoy, Letterkenny, Co. Donegal (Phase 1)",46,"Cluid Housing","","","","Q1-2018","",""
262,"CALF Construction","Donegal","Raphoe Road, Castlefinn, Co. Donegal (Phase 1)",10,"Habinteg Housing Association (Ireland) Ltd","","","","Q2-2018","",""
263,"CALF Turnkey","Donegal","Ballaghderg, Letterkenny, Co Donegal  (Phase 1)*",33,"Respond","","","","","Q4-2017",""
264,"CALF Turnkey","Donegal","Forge Road, Donegal (Phase 1)",4,"Cluid Housing","","","","","","Q3-2016"
265,"CALF Construction","Donegal","Post Tender - Ernedale Ballyshannon (Phase 1)",11,"Cluid Housing","","","","","","Q4-2018"
266,"SHIP CONSTRUCTION TURNKEY","Donegal","Gleann Na Greine, Mullindrait, Stranorlar",21,"*N/A","","","","","","Q2-2018"
267,"SHIP CONSTRUCTION TURNKEY","Donegal","Crievesmith, Letterkenny (Phase 1)",18,"*N/A","","","","","","Q4-2018"
268,"SHIP CONSTRUCTION TURNKEY","Donegal","Radharc an Chuain, Ramelton",20,"*N/A","","","","Stage 4 approved Q2-2018, the scheme is fully approved.","",""
269,"SHIP CONSTRUCTION TURNKEY","Donegal","Crievesmith, Letterkenny (Phase 2)",20,"*N/A","","","","","Q2-2018",""
270,"SHIP CONSTRUCTION","Donegal","Meadow Hill, Raphoe",11,"*N/A","","Stage 2 approved Q1-2017, full design/tender being prepared.","","","",""
271,"SHIP CONSTRUCTION","Donegal","Radharc na Tra Breige, Malin (Phase 3)",8,"*N/A","","Stage 2 approved Q2-2017, full design/tender being prepared.","","","",""
272,"SHIP CONSTRUCTION","Donegal","Cois Abhainn, St Johnston (Phase 2)",6,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
273,"SHIP CONSTRUCTION","Donegal","Emerald Drive, Killybegs (Phase 6)",9,"*N/A","","","","","Q4-2018",""
274,"SHIP CONSTRUCTION","Donegal","Long Lane, Letterkenny",29,"*N/A","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
275,"SHIP CONSTRUCTION","Donegal","Rockytown, Buncrana (Phase 1)",21,"*N/A","","Stage 2 approved Q4-2016, full design/tender being prepared.","","","",""
276,"SHIP CONSTRUCTION","Donegal","Manorcunningham (Phase 2)",8,"*N/A","","","","","","Q4-2018"
277,"SHIP CONSTRUCTION","Donegal","Abbots Wood, Carndonagh (Ph 2)",4,"*N/A","","","","","","Q4-2018"
278,"SHIP CONSTRUCTION","Donegal","Ardara (Phase 3)",8,"*N/A","","","","","","Q2-2017"
279,"SHIP CONSTRUCTION","Donegal","Newtoncunningham",7,"*N/A","","","","","","Q4-2018"
280,"SHIP CONSTRUCTION","Donegal","Railway Park, Drumrooske, Donegal Town",24,"*N/A","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
281,"SHIP CONSTRUCTION","Donegal","Ard Connell, Ardara (SRD)",1,"*N/A","","","","","","Q1-2017"
282,"SHIP CONSTRUCTION","Donegal","Manorcunningham (Phase 1)",2,"*N/A","","","","","","Q2-2017"
283,"CAS CONSTRUCTION","Donegal","Glenrowan House, Drumkeen, Stranorlar",5,"Apex Housing Association","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
284,"CAS CONSTRUCTION","Donegal","Willowbrook, Glencar, Letterkenny",40,"Apex Housing Association","Stage 1 approved Q4-2016, outline design and costs being prepared.","","","","",""
285,"CAS CONSTRUCTION","Donegal","Meenmore, Dungloe",15,"County Donegal Parents and Friends Housing Association Ltd","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
286,"CAS CONSTRUCTION","Donegal","Railway Park, Drumrooske, Donegal Town",10,"Oaklee Housing Trust","","","Stage 3 approved Q3-2018, the scheme is now approved to proceed to tender.","","",""
287,"CAS CONSTRUCTION","Donegal","Dunshenny House, Derry Road, Carndonagh",5,"Apex Housing Association","","","","","","Q2-2018"
288,"CAS CONSTRUCTION","Donegal","Raphoe Road, Castlefinn",20,"Habinteg Housing Association (Ireland) Ltd","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
289,"CALF Construction","Dublin City","Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",23,"Cluid Housing","","","","Q2-2018","",""
290,"CALF Construction","Dublin City","Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 2)",39,"Cluid Housing","","","","Q2-2018","",""
291,"CALF Construction","Dublin City","Jamestown Court, Dublin 8 (Phase 1)",9,"ALONE","","","","Q2-2018","",""
292,"CALF Construction","Dublin City"," Dominic Place, Dublin (Phase 1)",9,"The Paddy McGrath Housing Project","","","","Q3-2018","",""
293,"CALF Construction","Dublin City","North King Street, Dublin 7  (Phase 1)",30,"Co-operative Housing Ireland","","","","Q4-2017","",""
294,"CALF Construction","Dublin City","Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,"T�ath Housing Association Ltd","","","","","Q2-2017",""
295,"CALF Turnkey","Dublin City","Clongriffin, Dublin 13 (Phase 1)*",84,"The Iveagh Trust","","","","","Q1-2018",""
296,"CALF Construction","Dublin City","Revised - St Mary�s Mansions, Dublin 1 (Phase 1)",80,"Cluid Housing","","","","","Q1-2018",""
297,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",97,"Fold Housing Association Ireland Ltd","","","","","Q1-2018",""
298,"CALF Turnkey","Dublin City"," Mountjoy Square North, Dublin 1 (Phase 1)",31,"Respond","","","","","Q2-2018",""
299,"CALF Turnkey","Dublin City","Canal Meadows, Bluebell, Dublin 12 (Phase 1)",4,"T�ath Housing Association Ltd","","","","","Q2-2018",""
300,"CALF Construction","Dublin City"," Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,"Fold Housing Association Ireland Ltd","","","","","Q2-2018",""
301,"CALF Construction","Dublin City"," Poplar Row, Ballybough, Dublin 3\n (Phase 1)",29,"Oaklee Housing","","","","","Q3-2018",""
302,"CALF Turnkey","Dublin City","Old School House Lane, Magenta Crescent, Santry, Dublin 9 (Phase 1)",8,"T�ath Housing Association Ltd","","","","","Q4-2018",""
303,"CALF Construction","Dublin City"," Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,"Cluid Housing","","","","","Q4-2018",""
304,"CALF Construction","Dublin City","Ballygall Road East phase 2 (Phase 1)",11,"Fold Housing Association Ireland Ltd","","","","","","Q1-2016"
305,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 1)",18,"T�ath Housing Association Ltd","","","","","","Q2-2016"
306,"CALF Turnkey","Dublin City"," Crumlin Village, Dublin 12 (Phase 1)",3,"Cluid Housing","","","","","","Q2-2017"
307,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 3)",10,"T�ath Housing Association Ltd","","","","","","Q2-2017"
308,"CALF Construction","Dublin City","Annamore Court, Ballyfermot (Phase 1)",70,"The Iveagh Trust","","","","","","Q2-2017"
309,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 2)",2,"Cluid Housing","","","","","","Q3-2017"
310,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 4)",3,"T�ath Housing Association Ltd","","","","","","Q3-2017"
311,"CALF Turnkey","Dublin City","Northbank, Castleforbes, Dublin 1  (Phase 1)*",26,"T�ath Housing Association Ltd","","","","","","Q2-2018"
312,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 1)",36,"Co-operative Housing Ireland","","","","","","Q3-2018"
313,"CALF Turnkey","Dublin City","Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,"Oaklee Housing","","","","","","Q3-2018"
314,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 5)",1,"T�ath Housing Association Ltd","","","","","","Q4-2018"
315,"CALF Turnkey","Dublin City","Balfe Road, Crumlin, Dublin 12 (Phase 1)*",16,"Respond","","","","","","Q4-2018"
316,"CALF Turnkey","Dublin City","Bluebell Avenue, Dublin 12 (Phase 1)",7,"T�ath Housing Association Ltd","","","","","","Q4-2018"
317,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 2)",36,"Co-operative Housing Ireland","","","","","","Q4-2018"
318,"CALF Construction","Dublin City","Johns Lane West Dublin 8 (Phase 1)",31,"Focus Ireland","","","","","","Q4-2018"
319,"CALF Construction","Dublin City","Richmond Road, Dublin 9 (Phase 1)",40,"Co-operative Housing Ireland","","","","","","Q4-2018"
320,"CALF Turnkey","Dublin City","Tonlegee Road, Dublin 5  (Phase 1)",47,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
321,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 2)",21,"T�ath Housing Association Ltd","","","","","","Q1-2017"
322,"CALF Turnkey","Dublin City","Merville Court, Merville Avenue, Fairview (Phase 1)",5,"Co-operative Housing Ireland","","","","","","Q1-2017"
323,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 3)",14,"T�ath Housing Association Ltd","","","","","","Q1-2017"
324,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 4)",8,"T�ath Housing Association Ltd","","","","","","Q1-2017"
325,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 1)",14,"T�ath Housing Association Ltd","","","","","","Q4-2016"
326,"CALF Construction","Dublin City","Harolds Cross, Dublin 6 (Phase 1)",28,"Focus Ireland","","","","","","Q4-2016"
327,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 2)",28,"T�ath Housing Association Ltd","","","","","","Q4-2016"
328,"CALF Construction","Dublin City","Broome Lodge,\nDunmanus Court, Cabra (Phase 1)",33,"Cluid Housing","","","","","","Q4-2017"
329,"CALF Turnkey","Dublin City","Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)*",16,"Respond","","","","","","Q4-2017"
330,"CALF Turnkey","Dublin City","Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,"Cluid Housing","","","","","","Q4-2017"
331,"SHIP CONSTRUCTION TURNKEY","Dublin City","Prospecthill",58,"*N/A","","","","","","Q4-2017"
332,"SHIP CONSTRUCTION TURNKEY","Dublin City","Parkside, Balgriffin, Dublin 13",16,"*N/A","","","","","","Q4-2018"
333,"SHIP CONSTRUCTION TURNKEY","Dublin City","Hampton Wood, Finglas",47,"*N/A","","","","","","Q4-2018"
334,"SHIP CONSTRUCTION TURNKEY","Dublin City","Hampton Wood, Finglas",45,"*N/A","","","","Stage 4 approved Q4-2018, the scheme is fully approved.","",""
335,"SHIP CONSTRUCTION RAPID","Dublin City","Belcamp H, Dublin 17",38,"*N/A","","","","","","Q4-2017"
336,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot",24,"*N/A","","","","","","Q4-2017"
337,"SHIP CONSTRUCTION RAPID","Dublin City","Mourne Road, Drimnagh",29,"*N/A","","","","","","Q4-2017"
338,"SHIP CONSTRUCTION RAPID","Dublin City","St Helena's Drive, Finglas",39,"*N/A","","","","","","Q3-2017"
339,"SHIP CONSTRUCTION RAPID","Dublin City","Poppintree, Ballymun",22,"*N/A","","","","","","Q2-2016"
340,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Cherry Orchard Site Ph1",53,"*N/A","","","","","","Q4-2018"
341,"SHIP CONSTRUCTION RAPID","Dublin City","Belcamp C, Dublin 17",16,"*N/A","","","","","Q4-2018",""
342,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Rathvilly Drive site",13,"*N/A","","","","","","Q3-2018"
343,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Woodbank Drive site",3,"*N/A","","","","","","Q3-2018"
344,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot - Rathvilly & Woodbank Drive Finglas - Cherry Orchard site Ph 2",19,"*N/A","","","","","Q3-2018",""
345,"SHIP CONSTRUCTION","Dublin City","Hampton Wood",25,"*N/A","","","","","","Q4-2016"
346,"SHIP CONSTRUCTION","Dublin City","Belcamp B, Dublin 17",12,"*N/A","","","","","Q4-2018",""
347,"SHIP CONSTRUCTION","Dublin City","Bunratty Road Phase 1c, Dublin 17",70,"*N/A","Stage 1 approved Q2-2015, outline design and costs being prepared.","","","","",""
348,"SHIP CONSTRUCTION","Dublin City","Cornamona, Ballyfermot, Dublin 12",61,"*N/A","","","","","Q4-2018",""
349,"SHIP CONSTRUCTION","Dublin City","Infirmary Road, Dublin 7",38,"*N/A","Stage 1 approved Q2-2015, outline design and costs being prepared.","","","","",""
350,"SHIP CONSTRUCTION","Dublin City","North King Street, - Sean Foster Place, Dublin 7",30,"*N/A","","","Stage 3 approved Q3-2017, the scheme is now approved to proceed to tender.","","",""
351,"SHIP CONSTRUCTION","Dublin City","Ballybough Road, Dublin 1 - Phase 1",5,"*N/A","","","","","","Q4-2018"
352,"SHIP CONSTRUCTION","Dublin City","St. Finbar's Court, Kilkieran Road, Dublin 7",46,"*N/A","","Stage 2 approved Q3-2018, full design/tender being prepared.","","","",""
353,"SHIP CONSTRUCTION","Dublin City","Priory Hall Phase 1",9,"*N/A","","","","","","Q1-2017"
354,"SHIP CONSTRUCTION","Dublin City","Priory Hall Phase 2",26,"*N/A","","","","","Q2-2017",""
355,"SHIP CONSTRUCTION","Dublin City","Ballybough Road, Dublin 1 - Phase 2",2,"*N/A","","","","","Q1-2017",""
356,"REGENERATION","Dublin City","St. Teresa's Gardens",54,"*N/A","","","","","Q4-2018",""
357,"REGENERATION","Dublin City","Dolphin House, Dublin 8 (Phase 1)",100,"*N/A","","","","","","Q3-2018"
358,"REGENERATION","Dublin City","Dominick Street (East side)",72,"*N/A","","","","","Q4-2018",""
359,"REGENERATION","Dublin City","Sackville Avenue Cottages",12,"*N/A","Stage 1 approved Q2-2016, outline design and costs being prepared.","","","","",""
360,"REGENERATION","Dublin City","O'Devaney Gardens",56,"*N/A","","","","","Q3-2018",""
361,"REGENERATION","Dublin City","Charlemont",79,"*N/A","","","","","","Q4-2017"
362,"REGENERATION","Dublin City","Maxwell Road",9,"*N/A","","","","","","Q2-2016"
363,"REGENERATION","Dublin City","Buttercup, Darndale",19,"*N/A","","","","","","Q4-2017"
364,"REGENERATION","Dublin City","Buttercup, Darndale",9,"*N/A","","","","","","Q1-2018"
365,"REGENERATION","Dublin City","Buttercup, Darndale",7,"*N/A","","","","","","Q2-2018"
366,"REGENERATION","Dublin City","St. Bricins Park",11,"*N/A","","","","","","Q4-2018"
367,"CAS CONSTRUCTION","Dublin City","Bolton Street, Dublin 1",8,"Arlington Novas Ireland Ltd","Stage 1 approved Q4-2017, outline design and costs being prepared.","","","","",""
368,"CAS CONSTRUCTION","Dublin City","Beech Hill",19,"Royal Hospital Donnybrook Voluntary Housing Association Ltd","","","","","","Q4-2018"
369,"CAS CONSTRUCTION","Dublin City","Ellis Court, Dublin",23,"T�ath Housing Association Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
370,"CAS CONSTRUCTION","Dublin City","Martanna House, High Park, Grace Park Road,Dublin 9",8,"Respond","","","","","","Q4-2018"
371,"CAS CONSTRUCTION","Dublin City","Rafter's Lane, Dublin 12",11,"Walkinston Housing Association Ltd (WALK)","","","","","Q3-2018",""
372,"CAS CONSTRUCTION","Dublin City","Townsend Street",18,"Peter McVerry Trust Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
373,"CAS CONSTRUCTION","Dublin City","Old Kilmainham Road, Dublin 8",11,"Arlington Novas Ireland Ltd","","","","","Q4-2018",""
374,"CAS CONSTRUCTION","Dublin City","New Street South, Dublin 8",8,"Peter McVerry Trust Ltd","","Stage 2 approved Q3-2017, full design/tender being prepared.","","","",""
375,"CAS CONSTRUCTION","Dublin City","Broome Lodge, Dunmanus, Dublin 7",10,"Cluid Housing Association","","","","","","Q4-2017"
376,"CAS CONSTRUCTION","Dublin City","St Agatha's Court, North William Street, Dublin 1",11,"Peter McVerry Trust Ltd","","","","","","Q2-2017"
377,"CAS CONSTRUCTION","Dublin City","Arbour Hill, Dublin 7",18,"Simon Community : Dublin Simon","","Stage 2 approved Q2-2018, full design/tender being prepared.","","","",""
378,"CAS CONSTRUCTION","Dublin City","St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,"Circle Voluntary Housing Association Ltd","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
379,"CAS CONSTRUCTION","Dublin City","Rathoath Avenue, Finglas, Dublin 11",6,"Arlington Novas Ireland Ltd","","","","","Q4-2018",""
380,"CAS CONSTRUCTION","Dublin City","Shaw Street, Dublin 2",12,"Peter McVerry Trust Ltd","Stage 1 approved Q1-2018, outline design and costs being prepared.","","","","",""
381,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Ayrfield, Malahide Road",150,"*N/A","","","","Q3-2018","",""
382,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Scribblestown",70,"*N/A","","","","Q3-2018","",""
383,"CALF Turnkey","Fingal","Allendale Square, Clonsilla, Dublin 15 (Phase 1)*",28,"Respond","","","","Q4-2018","",""
384,"CALF Turnkey","Fingal","Property  Park House, Dublin Street, Baldoyle, Dublin 13 (Phase 1)*",1,"Focus Ireland","","","","","Q2-2017",""
385,"CALF Turnkey","Fingal","The Gallery, Turvey Avenue, Donabate (Phase 1)",43,"Oaklee Housing","","","","","Q2-2017",""
386,"CALF Turnkey","Fingal","Pappan Grove, Northwood, Santry, Dublin 9 (Phase 1)*",35,"T�ath Housing Association Ltd","","","","","Q2-2018",""
387,"CALF Turnkey","Fingal","Millers Glen, Oldtown, Swords, Co. Dublin (Phase 1)*",28,"The Iveagh Trust","","","","","Q3-2018",""
388,"CALF Turnkey","Fingal","Millers Glen, Phase 3, Oldtown, Swords (Phase 1)*",14,"The Iveagh Trust","","","","","Q3-2018",""
389,"CALF Turnkey","Fingal","Northwood, Ballymun Cross, Santry, Dublin 9 (Phase 1)",55,"Respond","","","","","Q3-2018",""
390,"CALF Construction","Fingal","Ladyswell Road & Church Road, Mulhuddart, Dublin 15  (Phase 1)",65,"Cluid Housing","","","","","Q4-2018",""
391,"CALF Turnkey","Fingal","Old Corduff Road, Blanchardstown, Dublin 15 (Phase 1)*",28,"Respond","","","","","Q4-2018",""
392,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 1)",5,"T�ath Housing Association Ltd","","","","","","Q2-2016"
393,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 2)",7,"T�ath Housing Association Ltd","","","","","","Q3-2016"
394,"CALF Turnkey","Fingal","Castlegrange Park (2) Clonsilla (Phase 5)",8,"T�ath Housing Association Ltd","","","","","","Q2-2017"
