"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1586,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",2,"*N/A","","","","","","Q4-2019"
1587,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard",4,"*N/A","","","","","","Q3-2019"
1588,"SHIP CONSTRUCTION TURNKEY","Longford","Church Street, Edgeworthstown",5,"*N/A","","","","","","Q3-2020"
1589,"SHIP CONSTRUCTION TURNKEY","Longford","Smithfield, Legan",18,"*N/A","","","","","","Q3-2020"
1590,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",4,"*N/A","","","","","","Q4-2019"
1591,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",4,"*N/A","","","","","","Q2-2019"
1592,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard",6,"*N/A","","","","","","Q4-2019"
1593,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard",4,"*N/A","","","","","","Q2-2019"
1594,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",4,"*N/A","","","","","","Q3-2019"
1595,"SHIP CONSTRUCTION TURNKEY","Longford"," Abhainn Glas, Edgeworthstown",4,"*N/A","","","","","","Q4-2019"
1596,"SHIP CONSTRUCTION TURNKEY","Longford","Caislean Breac, Newtownforbes",2,"*N/A","","","","","","Q4-2019"
1597,"SHIP CONSTRUCTION TURNKEY","Longford","Farnagh Hill, Longford Town",4,"*N/A","","","","","","Q1-2020"
1598,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard",4,"*N/A","","","","","","Q4-2019"
1599,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",2,"*N/A","","","","","","Q4-2019"
1600,"SHIP CONSTRUCTION TURNKEY","Longford","Farnagh Hill, Longford Town",6,"*N/A","","","","","","Q4-2020"
1601,"SHIP CONSTRUCTION TURNKEY","Longford","Carragh, Granard",7,"*N/A","","","","","","Q4-2019"
1602,"SHIP CONSTRUCTION TURNKEY","Longford","Sl� Corglass, Legga",4,"*N/A","","","","","","Q1-2021"
1603,"SHIP CONSTRUCTION TURNKEY","Longford","Radharc Na Muileann, Knock, Lanesborough",2,"*N/A","","","","","","Q4-2019"
1604,"SHIP CONSTRUCTION TURNKEY","Longford","Pearse Drive, Longford Town",1,"*N/A","","","","","","Q4-2019"
1605,"SHIP CONSTRUCTION TURNKEY","Longford","Cartrons, Kenagh",5,"*N/A","","","","","","Q4-2020"
1606,"SHIP CONSTRUCTION TURNKEY","Longford","Farnagh Hill, Longford Town",4,"*N/A","","","","","","Q3-2020"
1607,"SHIP CONSTRUCTION TURNKEY","Longford","Farnagh Hill, Longford Town",8,"*N/A","","","","","","Q1-2021"
1608,"SHIP CONSTRUCTION TURNKEY","Longford","Mill Race Park, Drumlish",1,"*N/A","","","","","","Q4-2020"
1609,"SHIP CONSTRUCTION TURNKEY","Longford","Campbell's Drive, Campbell's Lane, Longford",6,"*N/A","","","","","","Q3-2021"
1610,"SHIP CONSTRUCTION TURNKEY","Longford","O'Hara Site, Connaught Rd.,Longford",14,"*N/A","","","","","Q1-2021",""
1611,"SHIP CONSTRUCTION TURNKEY","Longford","Farnagh Hill, Longford Town",2,"*N/A","","","","","","Q4-2020"
1612,"SHIP CONSTRUCTION TURNKEY","Longford","Alder Field, Farnagh Hill (Phase 2)",11,"*N/A","","","","Stage 4 approved Q2-2021, the scheme is fully approved.","",""
1613,"SHIP CONSTRUCTION TURNKEY","Longford","Sl� Corglass, Legga",4,"*N/A","","","","","","Q2-2021"
1614,"SHIP CONSTRUCTION TURNKEY","Longford","Campbell's Drive, Campbell's Lane, Longford",4,"*N/A","","","","","","Q2-2021"
1615,"SHIP CONSTRUCTION TURNKEY","Longford","Sl� Corglass, Legga ",1,"*N/A","","","","","","Q3-2021"
1616,"SHIP CONSTRUCTION TURNKEY","Longford","Campbell's Lane, Longford",5,"*N/A","","","","","","Q2-2021"
1617,"SHIP CONSTRUCTION TURNKEY","Longford","St. Patricks Ct., Ballinamuck",8,"*N/A","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
1618,"SHIP CONSTRUCTION TURNKEY","Longford","Alder Field, Farnagh Hill",12,"N/A","","","","","","Q3-2021"
1619,"SHIP CONSTRUCTION TURNKEY","Longford","Campbell's Drive, Campbell's Lane, Longford",6,"N/A","","","","","Q2-2021",""
1620,"SHIP CONSTRUCTION","Longford","Rathcline Road, Lanesborough",4,"*N/A","","","","","","Q3-2019"
1621,"SHIP CONSTRUCTION","Longford","Edgeworthstown Road, Ballymahon",4,"*N/A","","","","","","Q1-2018"
1622,"SHIP CONSTRUCTION","Longford","Daroge, Ballymahon",1,"*N/A","","","","","","Q4-2019"
1623,"SHIP CONSTRUCTION","Longford","'Rose Cottage', Ballinalee",6,"*N/A","","","","","Q3-2020",""
1624,"SHIP CONSTRUCTION","Longford","St.Rita's, Park Road, Longford",14,"*N/A","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
