"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
637,"SHIP CONSTRUCTION","Donegal","Gallow's Lane, Lifford",29,"*N/A","","Stage 2 approved Q1-2020, full design/tender being prepared.","","","",""
638,"SHIP CONSTRUCTION","Donegal","Chapel Road, Dungloe",45,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
639,"SHIP CONSTRUCTION","Donegal","Kilmacrennan, Letterkenny",34,"*N/A","","Stage 2 approved Q2-2021, full design/tender being prepared.","","","",""
640,"CAS CONSTRUCTION TURNKEY","Donegal","Ballaghderg, Letterkenny",14,"Respond","","","","","","Q4-2020"
641,"CAS CONSTRUCTION","Donegal","Glenrowan House, Drumkeen, Stranorlar",5,"Apex Housing Association","","","","","Q4-2020",""
642,"CAS CONSTRUCTION","Donegal","Cois Locha, Meenmore, Dungloe",15,"County Donegal Parents and Friends Housing Association Ltd","","","","","Q3-2020",""
643,"CAS CONSTRUCTION","Donegal","Railway Park, Drumrooske, Donegal Town",10,"Oaklee Housing Trust","","","","","","Q4-2020"
644,"CAS CONSTRUCTION","Donegal","Dunshenny House, Derry Road, Carndonagh",5,"Apex Housing Association","","","","","","Q2-2018"
645,"CAS CONSTRUCTION","Donegal","Raphoe Road, Castlefinn",34,"Habinteg Housing Association (Ireland) Ltd","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
646,"CALF Turnkey","Donegal","Ballaghderg, Letterkenny, Co Donegal  (Phase 1)*",33,"Respond","","","","","","Q1-2021"
647,"CALF Turnkey","Donegal","Forge Road, Donegal (Phase 1)",4,"Cl�id Housing","","","","","","Q3-2016"
648,"CALF Construction","Donegal","Post Tender - Ernedale Ballyshannon (Phase 1)",11,"Cl�id Housing","","","","","","Q4-2018"
649,"SHIP CONSTRUCTION TURNKEY","Dublin City","Prospect Hill",58,"*N/A","","","","","","Q4-2017"
650,"SHIP CONSTRUCTION TURNKEY","Dublin City","Parkside, Balgriffin, Dublin 13",16,"*N/A","","","","","","Q4-2018"
651,"SHIP CONSTRUCTION TURNKEY","Dublin City","Hampton Wood, Finglas",47,"*N/A","","","","","","Q4-2018"
652,"SHIP CONSTRUCTION TURNKEY","Dublin City","Hampton Wood, Finglas",45,"*N/A","","","","","","Q4-2019"
653,"SHIP CONSTRUCTION TURNKEY","Dublin City","88-89 Drimnagh Road Dublin 12",24,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
654,"SHIP CONSTRUCTION TURNKEY","Dublin City","St. Pancras, Harolds Cross, Dublin 6",4,"*N/A","","","","","","Q2-2021"
655,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Belcamp B, Dublin 17",12,"*N/A","","Stage 2 approved Q3-2020, full design/tender being prepared.","","","",""
656,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Bunratty Road",78,"*N/A","","","","","Q4-2019",""
657,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Bonham Street Dublin  8",57,"*N/A","","","","","Q4-2019",""
658,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Cork Street/Chamber Street Dublin 8",55,"*N/A","","","","","Q1-2020",""
659,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Springvale Chapelizod Dublin 8",71,"*N/A","","","","","Q1-2020",""
660,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Cromcastle & Woodville, Coolock, Dublin 5",156,"*N/A","Stage 1 approved Q1-2021, outline design and costs being prepared.","","","","",""
661,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","Crumlin Road - Rafters Lane, Dublin 12",47,"*N/A","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
662,"SHIP CONSTRUCTION RAPID VOLUMETRIC","Dublin City","St. Andrews Court, Dublin 2",37,"*N/A","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
663,"SHIP CONSTRUCTION RAPID","Dublin City","Belcamp H, Dublin 17",38,"*N/A","","","","","","Q4-2017"
664,"SHIP CONSTRUCTION RAPID","Dublin City","Cherry Orchard, Ballyfermot",24,"*N/A","","","","","","Q4-2017"
665,"SHIP CONSTRUCTION RAPID","Dublin City","Mourne Road, Drimnagh",29,"*N/A","","","","","","Q4-2017"
666,"SHIP CONSTRUCTION RAPID","Dublin City","St Helena's Drive, Finglas",39,"*N/A","","","","","","Q3-2017"
667,"SHIP CONSTRUCTION RAPID","Dublin City","Poppintree, Ballymun",22,"*N/A","","","","","","Q2-2016"
668,"SHIP CONSTRUCTION RAPID","Dublin City","Rapids at Ballyfermot, Rathvilly, Woodbank Drive",53,"*N/A","","","","","","Q4-2018"
669,"SHIP CONSTRUCTION RAPID","Dublin City","Rapids at Ballyfermot, Rathvilly, Woodbank Drive",13,"*N/A","","","","","","Q3-2018"
670,"SHIP CONSTRUCTION RAPID","Dublin City","Rapids at Ballyfermot, Rathvilly, Woodbank Drive",3,"*N/A","","","","","","Q3-2018"
671,"SHIP CONSTRUCTION RAPID","Dublin City","Rapids at Ballyfermot, Rathvilly, Woodbank Drive",19,"*N/A","","","","","","Q4-2019"
672,"SHIP CONSTRUCTION","Dublin City","Hampton Wood",25,"*N/A","","","","","","Q4-2016"
673,"SHIP CONSTRUCTION","Dublin City","Cornamona, Ballyfermot, Dublin 12",61,"*N/A","","","","","Q2-2019",""
674,"SHIP CONSTRUCTION","Dublin City","Infirmary Road, Dublin 7",38,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
675,"SHIP CONSTRUCTION","Dublin City","North King Street, - Sean Foster Place, Dublin 7",30,"*N/A","","","","","Q2-2019",""
676,"SHIP CONSTRUCTION","Dublin City","Ballybough Road, Dublin 1",5,"*N/A","","","","","","Q4-2018"
677,"SHIP CONSTRUCTION","Dublin City","St. Finbar's Court, Kilkieran Road, Dublin 7",46,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
678,"SHIP CONSTRUCTION","Dublin City","Dominick Street (East side)",72,"*N/A","","","","","Q1-2018",""
679,"SHIP CONSTRUCTION","Dublin City","Sackville Avenue Cottages",14,"*N/A","","Stage 2 approved Q3-2019, full design/tender being prepared.","","","",""
680,"SHIP CONSTRUCTION","Dublin City","O'Devaney Gardens - Phase 1A",56,"*N/A","","","","","Q3-2018",""
681,"SHIP CONSTRUCTION","Dublin City","Priory Hall",9,"*N/A","","","","","","Q1-2017"
682,"SHIP CONSTRUCTION","Dublin City","Priory Hall",24,"*N/A","","","","","","Q4-2019"
683,"SHIP CONSTRUCTION","Dublin City","Ballybough Road, Dublin 1",2,"*N/A","","","","","","Q4-2019"
684,"SHIP CONSTRUCTION","Dublin City","Glin Court, Coolock, Dublin 17",32,"*N/A","","Stage 2 approved Q1-2021, full design/tender being prepared.","","","",""
685,"SHIP CONSTRUCTION","Dublin City","Kildonan Road",75,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
686,"SHIP CONSTRUCTION","Dublin City","Lands at Emmet Road",109,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
687,"SHIP CONSTRUCTION","Dublin City","Slademore Avenue, Ayrfield, Dublin 13",39,"*N/A","Stage 1 approved Q1-2021, outline design and costs being prepared.","","","","",""
688,"SHIP CONSTRUCTION","Dublin City","Bluebell Phase 1A",140,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
689,"SHIP CONSTRUCTION","Dublin City","Liberties Cluster Phase 1, School Street, The Liberties, Dublin 8",115,"*N/A","Stage 1 approved Q3-2021, outline design and costs being prepared.","","","","",""
690,"SHIP CONSTRUCTION","Dublin City","St. Anne's Court, All Saints Drive, Raheny, Dublin 5",102,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
691,"REGENERATION","Dublin City","St Teresa's Gardens Margaret Kennedy Road Project",54,"*N/A","","","","","","Q4-2020"
692,"REGENERATION","Dublin City","Dolphin House, Dublin 8",100,"*N/A","","","","","","Q3-2018"
693,"REGENERATION","Dublin City","Charlemont",79,"*N/A","","","","","","Q4-2017"
694,"REGENERATION","Dublin City","Maxwell Road",9,"*N/A","","","","","","Q2-2016"
695,"REGENERATION","Dublin City","Buttercup, Darndale",19,"*N/A","","","","","","Q4-2017"
696,"REGENERATION","Dublin City","Buttercup, Darndale",9,"*N/A","","","","","","Q1-2018"
697,"REGENERATION","Dublin City","Buttercup, Darndale",7,"*N/A","","","","","","Q2-2018"
698,"REGENERATION","Dublin City","St. Bricins Park",11,"*N/A","","","","","","Q4-2018"
699,"REGENERATION","Dublin City","Dorset Street, Dublin 7",97,"*N/A","","Stage 2 approved Q3-2021, full design/tender being prepared.","","","",""
700,"REGENERATION","Dublin City","Matt Talbot Court",92,"*N/A","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
701,"REGENERATION","Dublin City","Constitution Hill Dublin 7",130,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
702,"REGENERATION","Dublin City","Pearse House, Sandwith Street Lower, Dublin 2 (Blocks L,M,N &P)",75,"*N/A","Stage 1 approved Q2-2021, outline design and costs being prepared.","","","","",""
703,"CAS CONSTRUCTION TURNKEY","Dublin City","Block 70, The Plaza, Parkwest, Dublin 12 ",43,"T�ath Housing Association Ltd","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
704,"CAS CONSTRUCTION TURNKEY","Dublin City","Apartments 1-3, 42 North Strand Road, Dublin 3",3,"Peter McVerry Trust Ltd","","","","","","Q4-2020"
705,"CAS CONSTRUCTION TURNKEY","Dublin City","5A & 5B Willow Park Crescent",2,"T�ath Housing Association Ltd","","","","","","Q3-2020"
706,"CAS CONSTRUCTION SINGLE STAGE","Dublin City","61 & 63 Rathoath Avenue, Finglas, Dublin 11",6,"Arlington Novas Ireland Ltd","","","","","Q4-2020",""
707,"CAS CONSTRUCTION SINGLE STAGE","Dublin City","13A Casement Drive / 307A Casement Road, Finglas, Dublin 11",4,"Arlington Novas Ireland Ltd","","","","Stage 4 approved Q3-2019, the scheme is fully approved.","",""
708,"CAS CONSTRUCTION SINGLE STAGE","Dublin City","88 Lower Drumcondra Road, Dublin 9 ",6,"Peter McVerry Trust Ltd","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
709,"CAS CONSTRUCTION","Dublin City","Beech Hill",19,"Royal Hospital Donnybrook Voluntary Housing Association Ltd","","","","","","Q4-2018"
710,"CAS CONSTRUCTION","Dublin City","Ellis Court, Dublin",22,"T�ath Housing Association Ltd","","","","","Q3-2019",""
711,"CAS CONSTRUCTION","Dublin City","Martanna House, High Park, Grace Park Road,Dublin 9",8,"Respond","","","","","","Q4-2018"
712,"CAS CONSTRUCTION","Dublin City","1 - 2 Rafter's Lane, Dublin 12",11,"Walkinston Housing Association Ltd (WALK)","","","","","","Q4-2019"
713,"CAS CONSTRUCTION","Dublin City","180-187 Townsend Street, Dublin 2",18,"Peter McVerry Trust Ltd","","","Stage 3 approved Q4-2018, the scheme is now approved to proceed to tender.","","",""
714,"CAS CONSTRUCTION","Dublin City","26 New Street South, Dublin 8",8,"Peter McVerry Trust Ltd","","","","","","Q1-2021"
715,"CAS CONSTRUCTION","Dublin City","Broome Lodge, Dunmanus, Dublin 7",10,"Cluid Housing Association","","","","","","Q4-2017"
716,"CAS CONSTRUCTION","Dublin City","St Agatha's Court, North William Street, Dublin 1",11,"Peter McVerry Trust Ltd","","","","","","Q2-2017"
717,"CAS CONSTRUCTION","Dublin City","55B Arbour Hill, Dublin 7",14,"Simon Community : Dublin Simon","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
718,"CAS CONSTRUCTION","Dublin City","St. Michael's Estate, Inchicore, Dublin 8 - Housing Pilot Project ",52,"Circle Voluntary Housing Association Ltd","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
719,"CAS CONSTRUCTION","Dublin City","Shaw Street, Dublin 2",12,"Peter McVerry Trust Ltd","","","Stage 3 approved Q3-2021, the scheme is now approved to proceed to tender.","","",""
720,"CAS CONSTRUCTION","Dublin City","Sarsfield Road, Ballyfermot, Dublin 10",6,"Respond","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
721,"CAS CONSTRUCTION","Dublin City","25-26 Ushers Island Ushers Quay Dublin 8",0,"Simon Community : Dublin Simon","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
722,"CAS CONSTRUCTION","Dublin City","53a Keeper Road, Drimnagh, Dublin 12",9,"Respond","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
723,"CALF Construction","Dublin City","3 units, Block A Jamestown Court, Dublin 8 (Phase 1)",3,"ALONE","","","","","","Q4-2020"
724,"CALF Turnkey","Dublin City","9 units Dorset Street, Dublin 1 (Phase 1)",9,"Clanmil Housing Association Ireland","","","","","","Q4-2020"
725,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 1)",14,"Tuath Housing Association","","","","","","Q4-2016"
726,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 2)",21,"Tuath Housing Association","","","","","","Q1-2017"
727,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 3)",10,"Tuath Housing Association","","","","","","Q2-2017"
728,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 4)",3,"Tuath Housing Association","","","","","","Q3-2017"
729,"CALF Turnkey","Dublin City","An Riasc, Finglas, Phase 1,2,3 and 4 (Phase 5)",1,"Tuath Housing Association","","","","","","Q4-2018"
730,"CALF Construction","Dublin City","Annamore Court, Ballyfermot (Phase 1)",70,"The Iveagh Trust","","","","","","Q2-2017"
731,"CALF Turnkey","Dublin City","Aughrim Street, Stoneybatter, Dublin 7 (Phase 1)",4,"Clanmil Housing Association Ireland","","","","","","Q2-2021"
732,"CALF Turnkey","Dublin City","Balfe Road, Crumlin, Dublin 12 (Phase 1)*",16,"Respond","","","","","","Q4-2018"
733,"CALF Construction","Dublin City","Ballygall Road East Phase 2 (Phase 1)",11,"Fold Housing Association Ireland Ltd","","","","","","Q1-2016"
734,"CALF Construction","Dublin City","Bethany House, Gilford Road, Sandymount, Dublin 4 (Phase 1)",62,"Cl�id Housing","","","","Q2-2021","",""
735,"CALF Turnkey","Dublin City","Blackbanks View, 754 Howth Road, Raheny, Dublin 5 (Phase 1)*",40,"Cl�id Housing","","","","","","Q1-2021"
736,"CALF Turnkey","Dublin City","Block A Northbank, Castleforbes, Dublin 1  (Phase 1)*",26,"Tuath Housing Association","","","","","","Q2-2018"
737,"CALF Construction","Dublin City","Block A, Jamestown Court, Dublin 8 (Phase 1)",9,"ALONE","","","","","","Q4-2020"
738,"CALF Turnkey","Dublin City","Bluebell Avenue, Bluebell, Dublin 12 (Phase 1)*",52,"Respond","","","","","Q4-2019",""
739,"CALF Turnkey","Dublin City","Bluebell Avenue, Dublin 12 (Phase 1)",7,"Tuath Housing Association","","","","","","Q4-2018"
740,"CALF Construction","Dublin City","Broome Lodge,\nDunmanus Court, Cabra (Phase 1)",33,"Cl�id Housing","","","","","","Q4-2017"
741,"CALF Turnkey","Dublin City","Camac Park, Bluebell, Dublin 12 (Phase 1)",5,"Tuath Housing Association","","","","","","Q2-2020"
742,"CALF Turnkey","Dublin City","Camac Park, Bluebell, Dublin 12 (Phase 1)",3,"Tuath Housing Association","","","","","Q1-2021",""
743,"CALF Turnkey","Dublin City","Canal Meadows, Bluebell, Dublin 12 (Phase 1)",4,"Tuath Housing Association","","","","","","Q1-2019"
744,"CALF Turnkey","Dublin City","Chanel College, Coolock Village, Malahide Road, Dublin 5  (Phase 1)*",16,"Respond","","","","","","Q4-2017"
745,"CALF Turnkey","Dublin City","Chanel Manor Apartments, Coolock, Dublin 5. (Phase 1)*",65,"Respond","","","","","Q2-2019",""
746,"CALF Turnkey","Dublin City","Chanel Manor, Coolock, Dublin 5 (Phase 1)*",22,"Respond","","","","","Q4-2020",""
747,"CALF Turnkey","Dublin City","Clongriffin, Dublin 13 (Phase 1)*",84,"The Iveagh Trust","","","","","","Q2-2019"
748,"CALF Turnkey","Dublin City","Connaught Street, Phibsborough, Dublin 7 (Phase 1)",20,"Focus Housing Association CLG","","","","","Q2-2021",""
749,"CALF Turnkey","Dublin City","Cromwellsfort Court, Cromwellsfort Road, Walkinstown, Dublin 12 (Phase 1)*",12,"Oaklee Housing","","","","","","Q3-2020"
750,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 1)",3,"Cl�id Housing","","","","","","Q2-2017"
751,"CALF Turnkey","Dublin City","Crumlin Village, Dublin 12 (Phase 2)",2,"Cl�id Housing","","","","","","Q3-2017"
752,"CALF Construction","Dublin City","Dolphin Park, Rialto, Dublin 8 (Phase 1)",43,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
753,"CALF Turnkey","Dublin City","Donnybrook Gardens, Lands of Greenfield Park, Donnybrook, Dublin 4 (Phase 1)*",4,"RHD Housing","","","","","","Q2-2021"
754,"CALF Turnkey","Dublin City","Elanora Court, Long Mile Road, Walkinstown, Dublin 12 (Phase 1)*",153,"Respond","","","","","Q3-2020",""
755,"CALF Construction","Dublin City","Harolds Cross, Dublin 6 (Phase 1)",28,"Focus Housing Association CLG","","","","","","Q4-2016"
756,"CALF Turnkey","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 1)",1,"Tuath Housing Association","","","","","","Q4-2019"
757,"CALF Turnkey","Dublin City","Lough Conn Road, Ballyfermot, Dublin 10 (Phase 2)",4,"Tuath Housing Association","","","","","","Q4-2020"
758,"CALF Turnkey","Dublin City","Merville Court, Merville Avenue, Fairview (Phase 1)",5,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2017"
759,"CALF Turnkey","Dublin City","Millrose House, Bluebell Avenue, Dublin 12 (Phase 1)",8,"Cl�id Housing","","","","","","Q4-2017"
760,"CALF Turnkey","Dublin City","Mountjoy Square North, Dublin 1 (Phase 1)",31,"Respond","","","","","","Q4-2019"
761,"CALF Turnkey","Dublin City","Newtown Cottages Malahide Road Coolock Dublin 17 (Phase 1)",3,"Clanmil Housing Association Ireland","","","","","Q3-2020",""
762,"CALF Construction","Dublin City","North King Street, Dublin 7  (Phase 1)",30,"Co - Operative Housing Ireland Society Limited","","","","","Q4-2019",""
763,"CALF Turnkey","Dublin City","Old School House Lane, Magenta Crescent, Santry, Dublin 9 (Phase 1)",8,"Tuath Housing Association","","","","","","Q4-2019"
764,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 1)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2018"
765,"CALF Construction","Dublin City","Orchard Lawns, Ballyfermot (Phase 2)",36,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
766,"CALF Turnkey","Dublin City","Park West Campus, Kileen Road, Dublin 12 (Phase 1)",41,"Tuath Housing Association","","","","","Q4-2020",""
767,"CALF Construction","Dublin City","Post Tender - Wad River Close Phase 2, Ballymun, Dublin 9  (Phase 1)",9,"Cl�id Housing","","","","","","Q4-2019"
768,"CALF Construction","Dublin City","Post Tender Johns Lane West Dublin 8 (Phase 1)",31,"Focus Housing Association CLG","","","","","","Q4-2018"
769,"CALF Construction","Dublin City","POST TENDER, Poplar Row, Ballybough, Dublin 3 (Phase 1)",29,"Oaklee Housing","","","","","","Q4-2019"
770,"CALF Turnkey","Dublin City","Ravensdale Court, Kimmage, Dublin 12. (Phase 1)",12,"Tuath Housing Association","","","","","Q4-2020",""
771,"CALF Construction","Dublin City","Revised - Dominic Place, Dublin (Phase 1)",9,"The Paddy McGrath Housing Project","","","","","","Q3-2020"
772,"CALF Construction","Dublin City","Revised Post Tender - Raleigh Square, Crumlin (Phase 1)",33,"Tuath Housing Association","","","","","","Q4-2019"
773,"CALF Construction","Dublin City","Revised, St Mary�s Mansions, Dublin 1 (Phase 1)",80,"Cl�id Housing","","","","","","Q4-2019"
774,"CALF Construction","Dublin City","Richmond Road, Dublin 9 (Phase 1)",40,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
775,"CALF Turnkey","Dublin City","Royal Canal Crescent, Rathborne Park, Rathborne, Dublin15 (Phase 1)*",16,"Cl�id Housing","","","","","","Q4-2020"
776,"CALF Turnkey","Dublin City","Royal Canal Park, Ashtown, Dublin 15 (Phase 1)*",46,"Respond","","","","","","Q4-2020"
777,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",44,"Fold Housing Association Ireland Ltd","","","","","","Q4-2019"
778,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 1)",6,"Fold Housing Association Ireland Ltd","","","","","","Q4-2020"
779,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 2)",42,"Fold Housing Association Ireland Ltd","","","","","","Q2-2020"
780,"CALF Turnkey","Dublin City","St Agnes Convent, Armagh Road, Crumlin, Dublin 12 (Phase 3)",11,"Fold Housing Association Ireland Ltd","","","","","","Q4-2020"
781,"CALF Turnkey","Dublin City","St Canice�s Hall, Ballygall Road West, Finglas, Dublin 11 (Phase 1)*",32,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2021"
782,"CALF Turnkey","Dublin City","Stormanstown Hall, Ballymun Road, (revised) (Phase 1)",42,"Oaklee Housing","","","","","","Q3-2018"
783,"CALF Turnkey","Dublin City","Sundrive Mews, Kimmage, Dublin 12 (Phase 1)",9,"Cl�id Housing","","","","","","Q4-2019"
784,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 1)",28,"Tuath Housing Association","","","","","","Q2-2016"
785,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 2)",18,"Tuath Housing Association","","","","","","Q4-2016"
786,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 3)",14,"Tuath Housing Association","","","","","","Q1-2017"
787,"CALF Turnkey","Dublin City","Thornwood, Beaumont (Phase 4)",8,"Tuath Housing Association","","","","","","Q1-2017"
788,"CALF Turnkey","Dublin City","Tonlegee Road, Dublin 5  (Phase 1)",47,"Fold Housing Association Ireland Ltd","","","","","","Q4-2018"
789,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Ayrfield, Malahide Road",150,"*N/A","","","","","","Q2-2021"
790,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Dublin City","Scribblestown",70,"*N/A","","","","","","Q4-2020"
791,"SHIP CONSTRUCTION TURNKEY","Fingal","Blackmills Grove, Blakestown Road, Mulhuddard",10,"*N/A","","","","","","Q2-2017"
792,"SHIP CONSTRUCTION TURNKEY","Fingal","Balgriffin Grove, Malahide Road, Balgriffin",6,"*N/A","","","","","","Q1-2017"
793,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",36,"*N/A","","","","","","Q3-2017"
794,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q1-2018"
795,"SHIP CONSTRUCTION TURNKEY","Fingal","Hansfield, Ongar, Dublin 15",16,"*N/A","","","","","","Q2-2018"
796,"SHIP CONSTRUCTION TURNKEY","Fingal","Ravenswood, North Road, Finglas",2,"Peter McVerry Trust Ltd","","","","","","Q4-2018"
797,"SHIP CONSTRUCTION TURNKEY","Fingal","Boroimhe, Swords",6,"*N/A","","","","","","Q3-2018"
798,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
799,"SHIP CONSTRUCTION TURNKEY","Fingal","Kenure Gate, Park Road, Rush",4,"*N/A","","","","","","Q4-2018"
800,"SHIP CONSTRUCTION TURNKEY","Fingal","Glaslinn, Donabate",3,"*N/A","","","","","","Q4-2018"
801,"SHIP CONSTRUCTION TURNKEY","Fingal","Bremore Pastures Park, Balbriggan",4,"*N/A","","","","","","Q4-2018"
802,"SHIP CONSTRUCTION TURNKEY","Fingal","Northwood Green, Santry, Dublin 9",37,"*N/A","","","","","","Q4-2018"
803,"SHIP CONSTRUCTION TURNKEY","Fingal","Hollytown Cottages",4,"*N/A","","","","","","Q4-2019"
804,"SHIP CONSTRUCTION TURNKEY","Fingal","Cnoc Dubh Ballyboughal Co. Dublin",5,"*N/A","","","","","","Q3-2019"
805,"SHIP CONSTRUCTION TURNKEY","Fingal","Rahillion, Donabate",1,"*N/A","","","","","","Q4-2019"
806,"SHIP CONSTRUCTION TURNKEY","Fingal","Bay Meadows Avenue/Square, Hollystown Dublin 15",12,"*N/A","","","","","","Q4-2020"
807,"SHIP CONSTRUCTION TURNKEY","Fingal","Bay Meadows, Hollystown, Dublin 15",10,"*N/A","","","","","","Q3-2020"
808,"SHIP CONSTRUCTION TURNKEY","Fingal","Killhedge Lane, Dun Emer, Lusk",7,"*N/A","","","","Stage 4 approved Q3-2021, the scheme is fully approved.","",""
809,"SHIP CONSTRUCTION SINGLE STAGE","Fingal","Outlands, Rathbeale Road, Swords",11,"*N/A","","","","","Q3-2021",""
810,"SHIP CONSTRUCTION RAPID","Fingal","Avondale, Mulhuddart, Dublin 15",42,"*N/A","","","","","","Q4-2019"
811,"SHIP CONSTRUCTION RAPID","Fingal","Pinewood, Balbriggan",20,"*N/A","","","","","","Q2-2018"
812,"SHIP CONSTRUCTION RAPID","Fingal","Wellview, Mulhuddart",20,"*N/A","","","","","","Q4-2017"
813,"SHIP CONSTRUCTION RAPID","Fingal","Church Road, Mulhuddart, Dublin 15",22,"*N/A","","","","","","Q4-2019"
814,"SHIP CONSTRUCTION RAPID","Fingal","Church Fields, Phase 2B, Mulhuddart, Dublin 15.",67,"*N/A","","","","","Q1-2021",""
815,"SHIP CONSTRUCTION","Fingal","Rivermeade, St. Margarets",2,"*N/A","","","","","","Q2-2019"
816,"SHIP CONSTRUCTION","Fingal","Rowlestown",10,"*N/A","","","","","","Q2-2019"
817,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",5,"*N/A","","","","","","Q2-2018"
818,"SHIP CONSTRUCTION","Fingal","Castlelands, Park View, Balbriggan (Phase 3)",24,"*N/A","","","","","","Q1-2019"
819,"SHIP CONSTRUCTION","Fingal","Rathbeale Road, Swords",24,"*N/A","","","","","","Q2-2020"
820,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",2,"*N/A","","","","","","Q3-2017"
821,"SHIP CONSTRUCTION","Fingal","Cappaghfinn (Phase 1)",14,"*N/A","","","","","","Q2-2016"
822,"SHIP CONSTRUCTION","Fingal","St. Cronan's Green, Swords",14,"*N/A","","","","","","Q2-2016"
823,"SHIP CONSTRUCTION","Fingal","St. Cronan's Cottages, Swords - Infill",1,"*N/A","","","","","","Q2-2016"
824,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2017"
825,"SHIP CONSTRUCTION","Fingal","The Grange, Ballyboughal",6,"*N/A","","","","","","Q4-2018"
826,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",15,"*N/A","","","","","","Q1-2018"
827,"SHIP CONSTRUCTION","Fingal","Redevelopment of Community Centre, Pinewood, Balbriggan",2,"*N/A","","","","","","Q3-2019"
828,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",4,"*N/A","","","","","","Q3-2018"
829,"SHIP CONSTRUCTION","Fingal","Racecourse Commons, Lusk",25,"*N/A","","","","","","Q4-2018"
