"No_","Funding Programme","LA","Scheme/Project Name","No_ of Units","Approved Housing Body","Stage 1 Capital Appraisal","Stage 2 Pre Planning","Stage 3 Pre Tender design","Stage 4 Tender Report or Final Turnkey/CALF approval","On Site","Completed"
1131,"CALF Turnkey","Kildare","Hawthorn Manor, Brockagh, Coill Dubh, Co. Kildare (Phase 1)*",5,"Oaklee Housing","","","","","","Q4-2019"
1132,"CALF Turnkey","Kildare","Kilbelin Abbey, Kildare, Phase 1 (Phase 1)*",4,"Cluid Housing","","","","","","Q1-2021"
1133,"CALF Turnkey","Kildare","Kilbelin Abbey, Kildare, Phase 2 (Phase 1)*",4,"Cluid Housing","","","","","Q2-2019",""
1134,"CALF Turnkey","Kildare","Ledwill Park, Kilcock, Co. Kildare (Phase 1)*",31,"Cluid Housing","","","","","","Q4-2019"
1135,"CALF Turnkey","Kildare","Leinster Square, Dublin Street, Kildare Town, Co Kildare (Phase 1)*",4,"Clanmil Housing Association Ireland","","","","","Q1-2019",""
1136,"CALF Turnkey","Kildare","Loughlion, Kildare Town, Kildare (Phase 1)",14,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
1137,"CALF Turnkey","Kildare","Loughlion, Kildare Town, Kildare (Phase 2)*",17,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
1138,"CALF Turnkey","Kildare","Loughlion, Kildare Town, Kildare (Phase 3)*",16,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2021"
1139,"CALF Turnkey","Kildare","Loughlion, Kildare Town, Kildare (Phase 4)",16,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1140,"CALF Turnkey","Kildare","Loughlion, Kildare Town, Kildare (Phase 5)*",16,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1141,"CALF Turnkey","Kildare","Main Street, Prosperous, Clane, Co. Kildare (Phase 1)*",16,"Clanmil Housing Association Ireland","","","","Q3-2020","",""
1142,"CALF Turnkey","Kildare","Mariavilla and Elsmore, Kildare (Phase 1)*",15,"T�ath Housing Association","","","","","","Q4-2019"
1143,"CALF Turnkey","Kildare","Millfield Manor, Newbridge, Co. Kildare (Phase 1)*",19,"Cluid Housing","","","","","","Q3-2018"
1144,"CALF Turnkey","Kildare","Morristown, Newbridge, Co Kildare (Phase 1)",14,"Cluid Housing","","","","","","Q1-2018"
1145,"CALF Turnkey","Kildare","Morristown, Newbridge, Co. Kildare (Phase 1)*",4,"Cluid Housing","","","","","","Q2-2018"
1146,"CALF Turnkey","Kildare","Oakpark, Craddockstown, Kildare (Phase 1)",6,"T�ath Housing Association","","","","","","Q4-2020"
1147,"CALF Turnkey","Kildare","Oaktree, Tully Road, Kildare Town (Phase 1)*",10,"T�ath Housing Association","","","","","","Q2-2018"
1148,"CALF Turnkey","Kildare","Oaktree, Tully Road, Kildare Town (Phase 2)*",7,"T�ath Housing Association","","","","","","Q3-2018"
1149,"CALF Turnkey","Kildare","Phase 2, White Oaks, Newbridge, Kildare (Phase 1)",36,"Cluid Housing","","","","","","Q4-2019"
1150,"CALF Turnkey","Kildare","Revised Rye Abbey, Kilcock, Co Kildare (apts)\n (Phase 1)",33,"Cluid Housing","","","","","","Q2-2017"
1151,"CALF Turnkey","Kildare","Robertstown, Naas , Co.Kildare (Phase 1)",5,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2020"
1152,"CALF Turnkey","Kildare","Roseberry Hill, Newbridge (Phase 1)",13,"T�ath Housing Association","","","","","","Q2-2017"
1153,"CALF Turnkey","Kildare","Roseberry Hill, Newbridge (Phase 2)",16,"T�ath Housing Association","","","","","","Q4-2017"
1154,"CALF Turnkey","Kildare","Roseberry Hill, Newbridge (Phase 3)",16,"T�ath Housing Association","","","","","","Q1-2018"
1155,"CALF Turnkey","Kildare","Rye Abbey, Kilcock - revised (houses) (Phase 1)",4,"Cluid Housing","","","","","","Q2-2017"
1156,"CALF Turnkey","Kildare","The Arches, Castlefarm, Naas, Co. Kildare (Phase 1)*",4,"T�ath Housing Association","","","","","","Q4-2020"
1157,"CALF Turnkey","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 1)*",5,"Cluid Housing","","","","","","Q4-2019"
1158,"CALF Turnkey","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 2)*",3,"Cluid Housing","","","","","","Q4-2020"
1159,"CALF Turnkey","Kildare","The Paddocks, Morristown, Newbridge, Kildare (Phase 3)*",16,"Cluid Housing","","","","","Q4-2018",""
1160,"CALF Turnkey","Kildare","The Paddocks, Newbridge, Co Kildare (Phase 1)",18,"Cluid Housing","","","","","","Q4-2020"
1161,"CALF Turnkey","Kildare","The Paddocks, Newbridge, Kildare  (Phase 1)",26,"Cluid Housing","","","","","Q2-2020",""
1162,"CALF Turnkey","Kildare","The Paddocks, Newbridge, Kildare  (Phase 2)",33,"Cluid Housing","","","","","Q2-2020",""
1163,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)",18,"Respond","","","","","","Q4-2019"
1164,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 1)*",18,"Respond","","","","","Q3-2019",""
1165,"CALF Turnkey","Kildare","The Vestry, Glebelands, Athy, Co. Kildare (Phase 2)",32,"Respond","","","","","","Q2-2020"
1166,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 1)*",14,"Cluid Housing","","","","","","Q4-2018"
1167,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 2)",24,"Cluid Housing","","","","","","Q4-2018"
1168,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 3)",20,"Cluid Housing","","","","","","Q1-2019"
1169,"CALF Turnkey","Kildare","White Oaks, Rickardstown, Newbridge, Co. Kildare (Phase 4)",2,"Cluid Housing","","","","","","Q4-2019"
1170,"CALF Turnkey","Kildare","Willouise, Sallins, Kildare (Phase 1)",31,"T�ath Housing Association","","","","","","Q4-2020"
1171,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Kildare","Craddockstown, Naas (Phase 1)",36,"*N/A","","","","","","Q2-2020"
1172,"PUBLIC PRIVATE PARTNERSHIP (Bundle 1)","Kildare","Craddockstown, Naas (Phase 2)",38,"*N/A","","","","","","Q3-2020"
1173,"PUBLIC PRIVATE PARTNERSHIP (Bundle 2)","Kildare","Butterstream, Clane",77,"*N/A","","","","","Q1-2019",""
1174,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",11,"*N/A","","","","","","Q2-2017"
1175,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Newpark, Castlecomer Road, Kilkenny",7,"*N/A","","","","","","Q1-2017"
1176,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank",8,"*N/A","","","","","","Q1-2018"
1177,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford",5,"*N/A","","","","","","Q4-2017"
1178,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Abbeygate, Ferrybank (Phase 2)",1,"*N/A","","","","","","Q3-2018"
1179,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Togher Way, Urlingford (Phase 3)",18,"*N/A","","","","","","Q4-2018"
1180,"SHIP CONSTRUCTION TURNKEY","Kilkenny","New Road, Mooncoin",4,"*N/A","","","","","Q3-2018",""
1181,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Chapel Street, Mooncoin",2,"*N/A","","","","","Q3-2018",""
1182,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Ogenty, Gowran",12,"*N/A","","","","","","Q4-2018"
1183,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Pennefeather Court, Hebron Road, Kilkenny",8,"*N/A","","","","","Q3-2020",""
1184,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Limegrove, Oakridge, Ferrybank, Co. Kilkenny",4,"*N/A","","","","","","Q2-2020"
1185,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Pennefeather Green, Hebron Road, Kilkenny",58,"*N/A","","","","","Q3-2020",""
1186,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Lower Kilmacow, Co. Kilkenny",16,"*N/A","","","","","Q3-2020",""
1187,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Limegrove, Ferrybank, Co. Kilkenny",15,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1188,"SHIP CONSTRUCTION TURNKEY","Kilkenny","Piltown, Kilkenny",4,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1189,"SHIP CONSTRUCTION SINGLE STAGE","Kilkenny","Group Home Cloghabrody, Thomastown",4,"*N/A","","","","","","Q3-2020"
1190,"SHIP CONSTRUCTION SINGLE STAGE","Kilkenny","Inchacarron, Mullinavat",2,"*N/A","","","","","Q3-2019",""
1191,"SHIP CONSTRUCTION SINGLE STAGE","Kilkenny","Shanganny, Jenkinstown",2,"*N/A","","","","","Q4-2019",""
1192,"SHIP CONSTRUCTION SINGLE STAGE","Kilkenny","Old Fire Station, Graiguenamanagh",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1193,"SHIP CONSTRUCTION","Kilkenny","Blackstaff House, Callan",4,"*N/A","","","","","","Q4-2019"
1194,"SHIP CONSTRUCTION","Kilkenny","Barna, Freshford",1,"*N/A","","","","","","Q2-2018"
1195,"SHIP CONSTRUCTION","Kilkenny","10 Golf Links Road, Kilkenny",6,"*N/A","","","Stage 3 approved Q1-2020, the scheme is now approved to proceed to tender.","","",""
1196,"SHIP CONSTRUCTION","Kilkenny","Main Street, Piltown",17,"*N/A","","","","","","Q4-2020"
1197,"SHIP CONSTRUCTION","Kilkenny","Station Road, Ballyragget",22,"*N/A","","","","","Q3-2019",""
1198,"SHIP CONSTRUCTION","Kilkenny","Bolton, Callan",38,"*N/A","","","","","","Q3-2020"
1199,"SHIP CONSTRUCTION","Kilkenny","Donaguile, Castlecomer",33,"*N/A","","","","","Q1-2019",""
1200,"SHIP CONSTRUCTION","Kilkenny","Rosehill, Kells Road, Kilkenny",6,"*N/A","","","","","","Q1-2017"
1201,"SHIP CONSTRUCTION","Kilkenny","Gaol Road, Kilkenny",10,"*N/A","","","","","","Q3-2016"
1202,"SHIP CONSTRUCTION","Kilkenny","Greensbridge House",5,"*N/A","","","","","","Q4-2018"
1203,"SHIP CONSTRUCTION","Kilkenny","The Broguemaker, Kilkenny",18,"*N/A","","","","","Q2-2020",""
1204,"SHIP CONSTRUCTION","Kilkenny","Ladywell, Thomastown, Co. Kilkenny",25,"*N/A","","","Stage 3 approved Q1-2021, the scheme is now approved to proceed to tender.","","",""
1205,"SHIP CONSTRUCTION","Kilkenny","Crokers Hill, Kennyswell Road, Kilkenny",88,"*N/A","","Stage 2 approved Q2-2019, full design/tender being prepared.","","","",""
1206,"SHIP CONSTRUCTION","Kilkenny","Ayrfield",9,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1207,"SHIP CONSTRUCTION","Kilkenny","Canal Road, Johnstown, Co. Kilkenny Project 1",5,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1208,"SHIP CONSTRUCTION","Kilkenny","Canal Road Johnstown Project 2",2,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1209,"SHIP CONSTRUCTION","Kilkenny","Canal Road Johnstown Project 3",4,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1210,"CAS CONSTRUCTION TURNKEY","Kilkenny","Golf Links Road, Kilkenny",15,"Respond","","","","","","Q3-2019"
1211,"CAS CONSTRUCTION","Kilkenny","Kingsriver, Ennisnag",4,"Kingsriver Housing Association Limited","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
1212,"CAS CONSTRUCTION","Kilkenny","Garrin Green",6,"SOS Kilkenny Housing Association Ltd","","","","","","Q4-2018"
1213,"CAS CONSTRUCTION","Kilkenny","Hazelbrook, Newrath",2,"Waterford Dove Housing Association","","","","","","Q1-2018"
1214,"CAS CONSTRUCTION","Kilkenny","Good Shepherd Centre - Wing 1952",12,"The Good Shepherd Centre (Kilkenny) Ltd","","","","","","Q4-2018"
1215,"CAS CONSTRUCTION","Kilkenny","Brooke House, Thomastown",5,"Camphill Communities of Ireland","","","","","","Q3-2017"
1216,"CAS CONSTRUCTION","Kilkenny","Friary Walk, Callan",12,"Cluid Housing Association","","","","","","Q3-2016"
1217,"CAS CONSTRUCTION","Kilkenny","Garden Cottage, The Workhouse, Callan",1,"Camphill Communities of Ireland","","","","","","Q4-2017"
1218,"CAS CONSTRUCTION","Kilkenny","Red Barn, Patrick Street, Ballyragget",12,"Good Shepherd Services Ltd","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1219,"CAS CONSTRUCTION","Kilkenny","Smith's Road, Ballyraggett",4,"Oaklee Housing Trust","","","","","","Q4-2018"
1220,"CAS CONSTRUCTION","Kilkenny","Fennelly's Lane Jerpoint",2,"Camphill Communities of Ireland","Stage 1 approved Q3-2017, outline design and costs being prepared.","","","","",""
1221,"CAS CONSTRUCTION","Kilkenny","8/9 Kilkenny Street, Castlecomer",3,"Good Shepherd Services Ltd","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1222,"CAS CONSTRUCTION","Kilkenny","19/21 Blackmill Street, Kilkenny",12,"Good Shepherd Services Ltd","","","Stage 3 approved Q1-2021, the scheme is now approved to proceed to tender.","","",""
1223,"CAS CONSTRUCTION","Kilkenny","Brother Thomas Place, Church Lane, Kilkenny",12,"Good Shepherd Services Ltd","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
1224,"CAS CONSTRUCTION","Kilkenny","Bridge Street, Callan",6,"Good Shepherd Services Ltd","","","","","","Q4-2019"
1225,"CAS CONSTRUCTION","Kilkenny","Grennan Villa, Thomastown",5,"Camphill Communities of Ireland","","","","","Q3-2020",""
1226,"CAS CONSTRUCTION","Kilkenny","Fiennes Court, William Street, Kilkenny",7,"Good Shepherd Services Ltd","","","Stage 3 approved Q4-2020, the scheme is now approved to proceed to tender.","","",""
1227,"CAS CONSTRUCTION","Kilkenny","St. John of god Convent, College Road, Kilkenny",12,"Sophia Housing Association Ltd","Stage 1 approved Q4-2019, outline design and costs being prepared.","","","","",""
1228,"CAS CONSTRUCTION","Kilkenny","The Round House, Kells, Co. Kilkenny",4,"SOS Kilkenny Housing Association Ltd","","Stage 2 approved Q4-2020, full design/tender being prepared.","","","",""
1229,"CAS CONSTRUCTION","Kilkenny","Ladywell Street, Thomastown, Co. Kilkenny",6,"Good Shepherd Services Ltd","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1230,"CAS CONSTRUCTION","Kilkenny","Dinan lodge,Suttonsrath, Jenkinstown, Co. Kilkenny",1,"Housing Agency","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
1231,"CAS CONSTRUCTION","Kilkenny","Maise Belle,Seixeslough,Newpark,Kilkenny",1,"Good Shepherd Services Ltd","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
1232,"CAS CONSTRUCTION","Kilkenny","Callan Road, Kilkenny",12,"Kilkenny Voluntary Housing Association","Stage 1 approved Q4-2020, outline design and costs being prepared.","","","","",""
1233,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
1234,"CALF Turnkey","Kilkenny","Castlehyde, Rosbercon (Phase 2)",6,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2018"
1235,"CALF Turnkey","Kilkenny","Cois Na Bearu, Graiguenemanagh, Kilkenny (Phase 1)",14,"Co - Operative Housing Ireland Society Limited","","","","","","Q1-2021"
1236,"CALF Turnkey","Kilkenny","Golf Links Road, Kilkenny (Phase 1)*",39,"Respond","","","","","","Q4-2019"
1237,"CALF Turnkey","Kilkenny","Logan Square, Thomastown, Co Kilkenny (Phase 1)*",16,"Oaklee Housing","","","","","","Q2-2017"
1238,"CALF Turnkey","Kilkenny","Love Lane, Castlecomer, Co. Kilkenny (Phase 1)",4,"Co - Operative Housing Ireland Society Limited","","","","","","Q3-2019"
1239,"CALF Turnkey","Kilkenny","Margaret�s Field, Callan Road, Kilkenny City (Phase 1)",40,"Respond","","","","","Q1-2019",""
1240,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 1)",28,"Respond","","","","","","Q4-2020"
1241,"CALF Turnkey","Kilkenny","Nuncio Road, Kilkenny (Phase 2)*",22,"Respond","","","","","Q4-2018",""
1242,"CALF Turnkey","Kilkenny","O�Loughlin Court, Kilkenny  (Phase 1)",2,"Respond","","","","","","Q4-2018"
1243,"CALF Turnkey","Kilkenny","Orchard Close, Kilkenny (Phase 1)*",23,"Cluid Housing","","","","","Q4-2020",""
1244,"CALF Construction","Kilkenny","Park Lane, Friary Walk, Callan, Co Kilkenny (Phase 1)*",16,"Cluid Housing","","","","","","Q2-2019"
1245,"CALF Turnkey","Kilkenny","Side Road, Moneenroe, Castlecomer, Co. Kilkenny (Phase 1)",9,"Oaklee Housing","","","","","","Q3-2018"
1246,"CALF Construction","Kilkenny","Walkin St Kilkenny (Phase 1)",27,"Oaklee Housing","","","","","","Q4-2019"
1247,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",6,"*N/A","","","","","","Q4-2020"
1248,"SHIP CONSTRUCTION TURNKEY","Laois","Priory, Borris in Ossory",5,"*N/A","","","","","Q2-2020",""
1249,"SHIP CONSTRUCTION TURNKEY","Laois","Clonaslee",7,"*N/A","","","","","","Q4-2020"
1250,"SHIP CONSTRUCTION TURNKEY","Laois","Church Ave., Stradbally",31,"*N/A","","","","Stage 4 approved Q1-2021, the scheme is fully approved.","",""
1251,"SHIP CONSTRUCTION SINGLE STAGE","Laois","Harpurs Lane, Portlaoise",1,"*N/A","","","","","","Q4-2019"
1252,"SHIP CONSTRUCTION SINGLE STAGE","Laois","Hillview, Portlaoise",2,"*N/A","","","","","","Q4-2020"
1253,"SHIP CONSTRUCTION SINGLE STAGE","Laois","Coolroe, Ballybrittas",1,"*N/A","","","","","Q4-2020",""
1254,"SHIP CONSTRUCTION SINGLE STAGE","Laois","The Orchard, Stradbally",6,"*N/A","","","","","","Q1-2020"
1255,"SHIP CONSTRUCTION","Laois","Moore Street, Rathdowney",6,"*N/A","","","","","Q3-2020",""
1256,"SHIP CONSTRUCTION","Laois","Ballymorris Road, Portarlington",22,"*N/A","","","","","Q3-2019",""
1257,"SHIP CONSTRUCTION","Laois","Gleann na Glaise, Ballyroan",10,"*N/A","","","","","Q4-2020",""
1258,"SHIP CONSTRUCTION","Laois","Pattison Est. Mountmellick",10,"*N/A","","","","","Q4-2020",""
1259,"SHIP CONSTRUCTION","Laois","Shannon Street, Mountrath",6,"*N/A","","","","","Q1-2020",""
1260,"SHIP CONSTRUCTION","Laois","Conniberry Way, Old Knockmay Road, Portlaoise",33,"*N/A","","","","","","Q2-2018"
1261,"SHIP CONSTRUCTION","Laois","Harbour Court, Mountmellick",6,"*N/A","Stage 1 approved Q3-2018, outline design and costs being prepared.","","","","",""
1262,"SHIP CONSTRUCTION","Laois","Mooreville, Rathdowney",7,"*N/A","","Stage 2 approved Q2-2020, full design/tender being prepared.","","","",""
1263,"SHIP CONSTRUCTION","Laois","Sean Doire, Cork Road, Durrow",22,"*N/A","","","","","Q4-2020",""
1264,"SHIP CONSTRUCTION","Laois","St Kieran's Park, Errill",14,"*N/A","","","Stage 3 approved Q3-2020, the scheme is now approved to proceed to tender.","","",""
1265,"SHIP CONSTRUCTION","Laois","Clonrooske, Knockmay",11,"*N/A","Stage 1 approved Q3-2019, outline design and costs being prepared.","","","","",""
1266,"SHIP CONSTRUCTION","Laois","Carraig Glas, Stradbally",26,"*N/A","","","","","Q1-2021",""
1267,"SHIP CONSTRUCTION","Laois","Stradbally Road, Portlaoise",50,"*N/A","Stage 1 approved Q2-2020, outline design and costs being prepared.","","","","",""
1268,"SHIP CONSTRUCTION","Laois","Iona",9,"*N/A","Stage 1 approved Q1-2020, outline design and costs being prepared.","","","","",""
1269,"CAS CONSTRUCTION","Laois","Presentation Convent & Lands, Portlaoise, ",51,"Sophia Housing Association Ltd","","Stage 2 approved Q1-2021, full design/tender being prepared.","","","",""
1270,"CAS CONSTRUCTION","Laois","County Hotel, Portlaoise",10,"Cluid Housing Association","Stage 1 approved Q3-2020, outline design and costs being prepared.","","","","",""
1271,"CALF Turnkey","Laois","Ballickmoyler, Graiguecullen, Laois (Phase 1)*",20,"Co - Operative Housing Ireland Society Limited","","","","","","Q4-2020"
1272,"CALF Turnkey","Laois","Ballymorris Court, Portarlington, Co Laois (Phase 1)",46,"Cluid Housing","","","","Q1-2021","",""
1273,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 1)",4,"Cluid Housing","","","","","","Q3-2019"
1274,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 2)",6,"Cluid Housing","","","","","","Q4-2019"
1275,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 3)",5,"Cluid Housing","","","","","","Q2-2020"
1276,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 4)*",9,"Cluid Housing","","","","","","Q1-2021"
1277,"CALF Turnkey","Laois","Bellingham, Portlaoise\n (Phase 5)*",6,"Cluid Housing","","","","","Q1-2017",""
1278,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 1)*",9,"T�ath Housing Association","","","","","","Q3-2020"
1279,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 2)*",8,"T�ath Housing Association","","","","","","Q3-2020"
1280,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 3)",10,"T�ath Housing Association","","","","","","Q4-2020"
1281,"CALF Turnkey","Laois","Borris Road, Portlaoise, Co. Laois (Phase 4)",9,"T�ath Housing Association","","","","","","Q1-2021"
1282,"CALF Turnkey","Laois","Clonroosk Abbey, Portlaoise, Co. Laois (Phase 1)",14,"Cluid Housing","","","","","Q4-2018",""
1283,"CALF Turnkey","Laois","Clonroosk Abbey, Portlaoise, Co. Laois (Phase 2)*",6,"Cluid Housing","","","","","Q4-2018",""
1284,"CALF Turnkey","Laois","Clonroosk Abbey, Portlaoise, Co. Laois (Phase 3)",12,"Cluid Housing","","","","","Q4-2018",""
1285,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 1)",17,"T�ath Housing Association","","","","","","Q3-2018"
1286,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 2)",9,"T�ath Housing Association","","","","","","Q4-2018"
1287,"CALF Turnkey","Laois","Corrig Glen, Station Road, Portarlington, Co. Laois (Phase 3)",13,"T�ath Housing Association","","","","","","Q4-2018"
1288,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 1)",2,"North & East Housing Association Ltd","","","","","","Q3-2020"
1289,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 2)",4,"North & East Housing Association Ltd","","","","","","Q4-2020"
1290,"CALF Turnkey","Laois","Doirinn Alainn, Ballylynan, Co. Laois (Phase 3)*",6,"North & East Housing Association Ltd","","","","","Q1-2019",""
1291,"CALF Turnkey","Laois","Droimnin, Stradbally, Co Laois  (Phase 1)",6,"Cluid Housing","","","","","","Q3-2018"
1292,"CALF Turnkey","Laois","Harpurs Lane, Portlaoise, Co. Laois (Phase 1)*",44,"Respond","","","","Q1-2021","",""
1293,"CALF Turnkey","Laois","Holdbrook, Portlaoise, Co. Laois (Phase 1)",10,"Cluid Housing","","","","","Q3-2018",""
1294,"CALF Turnkey","Laois","Holdbrook, Portlaoise, Co. Laois (Phase 2)",10,"Cluid Housing","","","","","Q3-2018",""
1295,"CALF Construction","Laois","Kirwan Park, Mountmellick, Co Laois  (Phase 1)",2,"Cluid Housing","","","","","","Q2-2018"
1296,"CALF Turnkey","Laois","Knockmay Mews, Old Knockmay Road, Portlaoise, Co. Laois (Phase 1)",3,"T�ath Housing Association","","","","","","Q3-2020"
1297,"CALF Turnkey","Laois","Lake Drive, Kilminchy, Portlaoise, Co. Laois (Phase 1)",8,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1298,"CALF Turnkey","Laois","Lake Drive, Kilminchy, Portlaoise, Co. Laois (Phase 2)",2,"Co - Operative Housing Ireland Society Limited","","","","","Q3-2019",""
1299,"CALF Turnkey","Laois","Main Street, Stradbally, Co. Laois (Phase 1)",16,"North & East Housing Association Ltd","","","","","","Q3-2020"
1300,"CALF Turnkey","Laois","Phase 2 The Glen, Kilnacourt, Portarlington, Co Laois (Phase 1)",18,"Co - Operative Housing Ireland Society Limited","","","","","Q2-2020",""
1301,"CALF Construction","Laois","POST TENDER - Cluinin  Mountrath, Co. Laois (Phase 1)",11,"Oaklee Housing","","","","","","Q1-2018"
1302,"CALF Turnkey","Laois","South Dublin Road, Portlaoise, Co. Laois (Phase 1)",13,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1303,"CALF Turnkey","Laois","South Dublin Road, Portlaoise, Co. Laois (Phase 2)",14,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1304,"CALF Turnkey","Laois","South Dublin Road, Portlaoise, Co. Laois (Phase 3)*",9,"Co - Operative Housing Ireland Society Limited","","","","","Q1-2020",""
1305,"CALF Turnkey","Laois","Spa Street, Droughill, Portarlington, Co. Laois (Phase 1)*",26,"Oaklee Housing","","","","","Q4-2020",""
1306,"CALF Turnkey","Laois","The Glen, Kilnacourt, Portarlington, Co. Laois (Phase 1)",18,"Co - Operative Housing Ireland Society Limited","","","","","","Q2-2020"
1307,"CALF Turnkey","Laois","The Meadows, Mountrath Road, Portlaoise, Co. Laois (Phase 1)*",48,"Cluid Housing","","","","","Q1-2021",""
1308,"CALF Turnkey","Laois","Wilton Lawns, Portarlington, Co. Laois (Phase 1)",2,"Respond","","","","Q1-2021","",""
1309,"SHIP CONSTRUCTION TURNKEY","Leitrim","Roosky",7,"*N/A","","","","","","Q4-2019"
1310,"SHIP CONSTRUCTION TURNKEY","Leitrim","Drumshanbo",9,"*N/A","","","","","","Q3-2019"
1311,"SHIP CONSTRUCTION TURNKEY","Leitrim","Church Lane, Ballinamore",9,"*N/A","","","","Stage 4 approved Q4-2019, the scheme is fully approved.","",""
1312,"SHIP CONSTRUCTION TURNKEY","Leitrim","Druminshingore, Newtowngore",2,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1313,"SHIP CONSTRUCTION TURNKEY","Leitrim","Carraig Breac, Drumshanbo",5,"*N/A","","","","Stage 4 approved Q2-2020, the scheme is fully approved.","",""
1314,"SHIP CONSTRUCTION TURNKEY","Leitrim","Oakgrove, Kinlough",5,"*N/A","","","","","","Q4-2020"
1315,"SHIP CONSTRUCTION TURNKEY","Leitrim","Ard na Drise, Mohill",3,"*N/A","","","","","","Q4-2020"
1316,"SHIP CONSTRUCTION TURNKEY","Leitrim","Ard na Drise, Mohill",2,"*N/A","","","","","","Q1-2021"
1317,"SHIP CONSTRUCTION TURNKEY","Leitrim","Lough Meen Estate, Drumkeerin",2,"*N/A","","","","Stage 4 approved Q3-2020, the scheme is fully approved.","",""
1318,"SHIP CONSTRUCTION TURNKEY","Leitrim","Commons Lane, Manorhamilton",4,"*N/A","","","","Stage 4 approved Q4-2020, the scheme is fully approved.","",""
